,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.07,9.81,9.23,8.6,8.45,7.52,3.31,1.93,3.4,,2.7,2.38,2.79,1.8,2.72,1.97
f_1,9.33,1.07,10.17,11.17,10.42,7.36,2.77,3.31,2.29,2.46,2.61,,2.16,1.79,1.83,2.42
e_1,10.82,5.95,1.07,10.35,8.21,8.73,5.89,3.2,3.1,3.29,4.83,2.62,2.37,1.78,,1.84
c_1,11.81,9.4,9.04,1.07,9.81,7.45,4.25,3.55,,1.68,3.36,3.47,2.75,2.57,2.88,1.72
b_1,12.74,9.45,11.69,6.86,1.07,11.06,4.35,3.57,3.41,3.84,,2.95,2.42,2.3,3.47,2.49
a_1,14.33,13.01,20.63,21.23,10.13,1.07,5.1,5.73,6.28,4.12,4.76,4.28,,3.0,,3.4
h_1,13.63,14.69,10.2,11.67,15.84,12.85,1.41,7.4,3.81,4.08,3.26,3.95,3.38,,3.12,3.04
g_1,21.95,17.4,19.25,20.74,12.92,13.38,4.21,1.41,4.19,4.5,6.38,5.59,4.32,2.1,4.05,
c_0,8.43,17.94,14.0,,14.63,9.39,4.9,6.44,1.71,5.47,4.42,4.03,5.05,3.94,3.38,2.85
d_0,,18.31,9.08,18.53,13.14,15.59,6.03,7.54,3.86,1.73,3.15,4.36,3.74,3.66,3.95,3.88
b_0,16.64,18.37,14.29,15.75,,17.24,5.96,4.73,3.55,5.7,1.71,4.49,5.64,4.19,4.26,3.47
f_0,17.73,,17.95,13.95,15.36,15.39,6.4,4.01,4.61,5.11,4.37,1.74,5.04,4.68,4.94,2.86
a_0,21.79,27.31,20.65,18.64,24.86,,6.58,7.33,6.78,7.44,4.25,5.97,1.73,4.68,5.8,3.86
h_0,18.3,14.17,23.41,14.83,16.69,13.03,,8.66,5.29,4.45,4.02,4.61,3.79,,3.81,3.41
e_0,18.59,31.39,,17.41,21.12,,7.28,6.96,6.74,6.1,7.59,4.31,5.32,6.77,1.76,4.51
g_0,17.09,21.5,23.87,19.22,18.02,17.4,6.11,,6.03,4.73,5.12,4.93,5.82,3.1,5.06,
