,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.49,0.15,0.15,0.2,0.17,0.11,0.2,0.22,0.2,0.29,0.19,0.19,0.16,0.17,,0.15
f_1,0.26,1.5,0.16,0.19,0.14,0.1,0.2,0.12,0.17,0.2,0.22,,0.21,0.18,0.19,0.2
d_1,0.15,0.17,1.52,0.13,0.18,0.17,0.19,0.17,0.32,,0.2,0.15,0.3,0.16,0.15,0.16
c_1,0.15,0.17,0.19,1.56,0.28,0.15,0.19,0.16,,0.19,0.14,0.21,0.21,0.22,0.17,0.23
b_1,0.16,0.2,0.19,0.12,1.59,0.2,0.28,0.2,0.2,0.18,,0.21,0.26,,0.15,0.23
a_1,0.21,0.19,0.13,0.15,0.16,1.73,0.25,0.15,0.24,0.24,0.17,0.16,0.24,,,0.29
h_1,0.4,0.48,0.39,0.37,0.24,0.31,1.63,0.62,0.54,0.45,0.47,0.33,,0.42,0.28,0.56
g_1,0.34,0.41,0.59,0.46,0.27,0.33,0.43,1.71,0.51,0.47,0.42,0.63,0.47,0.31,0.32,
c_0,0.45,0.5,0.43,,0.37,0.42,0.54,0.46,1.41,0.59,0.92,0.5,0.57,0.42,0.51,0.46
d_0,0.44,0.49,,0.62,0.43,0.32,0.61,0.38,0.46,1.46,0.6,0.58,0.55,0.45,0.58,0.54
b_0,0.47,0.45,0.44,0.46,,0.39,0.58,0.52,0.47,0.57,1.42,0.52,0.6,0.89,0.49,0.54
f_0,0.45,,0.55,0.44,0.51,0.52,0.6,0.5,0.58,0.53,0.7,1.48,0.75,0.34,0.56,0.49
h_0,0.76,0.8,0.5,0.58,0.49,0.58,,0.77,0.78,0.65,0.61,0.54,,0.45,0.55,1.03
a_0,0.5,0.53,0.59,0.37,,,0.43,0.61,0.6,0.63,0.46,0.73,0.69,1.59,,
e_0,,0.56,0.47,0.55,0.53,,0.73,0.63,0.54,0.62,0.59,0.56,0.63,,1.63,0.58
g_0,0.79,0.46,0.85,0.61,0.51,0.35,0.5,,0.94,0.75,0.84,0.85,0.6,,0.5,
