,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,8452.46,133.65,163.83,309.42,624.71,1515.93,193822.47,545273.49,349262.15,1541829.77,790042.55,1028395.92,5365109.62,3080975.47,,10960303.51
f_1,244.98,11070.24,209.32,347.66,483.54,1600.06,177660.27,601693.6,263317.27,654926.2,860784.86,,4853864.65,3695399.71,4570645.9,8033706.11
d_1,96.32,141.02,14293.39,476.7,555.08,1434.29,220942.14,935974.58,461812.49,,792574.79,1230094.45,5249578.88,3733105.24,5569090.0,8115676.99
c_1,137.38,140.47,181.24,33044.47,1285.77,1327.7,194325.52,,655488.08,469339.91,770065.98,1714795.14,4698926.48,2575757.09,4491285.8,11599236.05
b_1,89.28,137.3,209.96,364.57,68991.7,2307.09,263927.17,358343.87,404983.08,744013.1,,1685503.62,6415461.63,2557593.2,5202882.83,8803560.31
a_1,142.0,124.02,184.02,370.47,618.32,186094.84,198781.93,551963.08,555573.88,453631.29,851330.85,1468094.69,4504224.08,,,9040181.29
h_1,349.9,886.21,670.31,1232.39,2094.95,4621.54,9749780.21,1983479.77,2890106.52,3181429.61,3379751.8,5245453.16,,12167943.41,17718015.02,34806320.03
c_0,612.9,565.69,612.18,,2956.88,6439.34,1225686.66,16040441.38,2452461.82,2259183.53,8768707.78,7560687.66,27208222.74,20650738.24,28628738.89,58196167.09
g_1,339.8,483.85,824.08,1329.77,3136.08,6179.16,738619.71,1938143.09,31791171.74,2505017.55,4281018.95,6415128.92,15538495.51,,18482321.55,
d_0,514.79,852.9,,3140.37,3090.38,6332.68,756970.51,2721960.79,2468258.68,23663384.76,6354136.07,5635295.15,29574155.16,13301602.73,20294474.64,63256703.35
b_0,482.71,695.59,870.32,1385.29,,6021.39,1029679.76,2892644.8,3147640.77,3795807.91,32155144.03,6487718.78,20952426.76,37989684.71,24442674.19,55699301.83
f_0,474.36,,831.51,1925.11,3442.52,8508.44,913492.92,2475546.13,3093195.09,4921726.6,3686543.81,50677041.61,26397444.1,13505320.97,48667734.74,50331820.18
h_0,1132.77,1774.92,1389.12,2520.72,4896.18,6356.22,,2374237.55,4489869.36,5567256.98,7101965.3,11366865.28,,17073925.15,33740912.43,100749628.67
a_0,610.83,652.02,1108.98,1328.02,2770.59,,1040579.79,2528229.96,,4503118.4,3842950.04,4911815.65,33992068.39,186330455.94,28302394.95,40507772.91
e_0,,751.39,716.6,1561.47,2850.42,,1446258.96,2786872.42,2764449.72,2941508.43,3986908.91,6187775.07,31224598.2,17800674.25,307520980.42,56558934.76
g_0,634.19,1038.51,2233.29,2585.26,3667.59,8143.7,1056886.74,3723382.39,,5844155.46,6600954.36,11884007.7,44997269.22,34822081.95,42502899.73,
