,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.24,0.89,0.98,0.78,0.7,0.42,0.4,0.42,0.41,0.35,0.33,0.27,0.24,0.29,0.24
e_1,0.81,1.0,0.98,1.02,0.67,0.6,0.54,0.48,0.41,0.58,0.44,0.45,0.36,0.4,0.32,0.28
d_1,1.12,1.02,1.0,0.88,0.76,0.67,0.55,0.39,0.61,0.49,0.41,0.41,0.37,0.34,0.25,0.33
c_1,1.02,0.98,1.13,1.0,1.29,0.76,0.54,0.46,0.37,0.32,0.39,0.45,0.4,0.38,0.31,0.33
b_1,1.28,1.49,1.31,0.78,1.0,1.17,0.49,0.58,0.44,0.45,0.51,0.44,0.45,0.39,0.47,0.32
a_1,1.42,1.66,1.49,1.32,0.85,1.0,0.72,0.48,0.51,0.55,0.72,0.54,0.59,0.76,0.43,0.5
h_1,2.41,1.78,1.8,1.93,1.89,1.38,1.0,1.04,0.73,0.89,0.77,0.78,0.77,0.55,0.77,0.62
g_1,2.51,2.12,2.51,2.18,1.73,1.84,0.95,1.0,0.88,0.9,0.99,0.91,0.7,0.76,0.57,0.81
c_0,2.41,2.59,1.64,2.48,2.45,2.01,1.38,1.14,1.0,0.86,1.34,0.92,0.82,0.75,0.8,0.8
d_0,2.4,1.59,2.02,3.34,2.08,1.8,1.22,1.16,1.15,1.0,0.9,0.87,0.75,0.64,0.78,0.73
b_0,2.93,2.25,2.28,2.7,2.58,1.24,1.27,1.06,0.73,1.14,1.0,0.85,0.81,1.44,0.84,0.7
f_0,3.41,2.14,2.48,2.19,2.57,1.82,1.33,1.09,1.09,1.09,1.15,1.0,0.9,0.84,0.64,1.13
h_0,3.98,2.73,2.8,2.65,2.19,1.77,1.32,1.43,1.21,1.32,1.25,1.09,1.0,0.96,1.16,0.82
a_0,3.88,2.33,2.89,2.83,2.94,,1.84,1.3,1.32,1.48,0.72,1.13,1.04,1.0,0.99,1.02
g_0,3.45,2.98,4.02,3.34,2.28,2.23,1.29,1.61,1.19,1.22,1.18,1.6,0.85,1.03,1.0,0.88
e_0,4.07,3.46,2.95,3.01,3.26,2.29,1.56,1.22,1.23,1.38,1.41,0.81,1.19,0.97,1.21,1.0
