,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.39,0.68,0.75,0.72,0.74,0.23,0.21,0.16,0.13,0.14,0.16,0.11,0.14,0.27,0.1
f_1,0.63,0.17,0.55,0.74,0.67,0.63,0.13,0.24,0.14,0.13,0.12,0.28,0.06,0.12,0.16,0.1
d_1,0.73,0.71,0.15,0.69,0.66,0.6,0.16,0.11,0.26,0.12,0.14,0.12,0.1,0.12,0.11,0.06
c_1,0.57,0.68,0.92,0.15,0.61,0.65,0.17,0.2,0.08,0.21,0.13,0.12,0.1,0.12,0.11,0.12
b_1,0.7,0.72,0.75,0.33,0.14,0.69,0.22,0.23,0.16,0.2,0.29,0.14,0.11,0.16,0.14,0.09
a_1,0.65,0.93,0.64,0.71,0.35,0.09,0.22,0.16,0.16,0.16,0.19,0.14,0.09,0.47,0.14,0.12
h_1,0.51,0.63,0.43,0.6,0.5,0.45,0.06,0.18,0.11,0.1,0.11,0.1,0.12,0.09,0.08,0.08
g_1,0.59,0.59,0.44,0.58,0.53,0.47,0.11,0.05,0.14,0.11,0.11,0.1,0.06,0.12,0.08,0.1
d_0,0.28,0.55,0.88,0.55,0.58,0.5,0.18,0.2,0.06,0.11,0.11,0.1,0.08,0.11,0.12,0.1
c_0,0.63,0.62,0.29,0.99,0.53,0.45,0.15,0.13,0.15,0.06,0.11,0.11,0.08,0.09,0.12,0.08
b_0,0.46,0.5,0.45,0.8,1.18,0.48,0.15,0.13,0.12,0.05,0.05,0.08,0.09,0.11,0.1,0.08
f_0,0.49,0.9,0.5,0.56,0.57,0.38,0.17,0.09,0.09,0.09,0.09,0.05,0.08,0.12,0.1,0.05
h_0,0.45,0.51,0.5,0.55,0.5,0.48,0.21,0.16,0.11,0.11,0.09,0.09,0.1,0.1,0.1,0.08
a_0,0.46,0.55,0.48,0.53,0.58,0.74,0.17,0.17,0.12,0.1,0.05,0.11,0.08,0.04,0.11,0.08
e_0,0.81,0.69,0.51,0.43,0.47,0.4,0.15,0.16,0.1,0.11,0.11,0.05,0.08,0.13,0.04,0.07
g_0,0.48,0.53,0.5,0.54,0.52,0.51,0.1,0.22,0.11,0.11,0.1,0.09,0.06,0.1,0.09,0.11
