,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.17,12.88,12.53,12.89,12.53,11.5,2.65,3.58,2.35,1.84,,3.01,1.59,2.61,4.02,1.77
e_1,8.95,0.17,13.53,13.23,12.52,12.53,3.29,3.86,2.67,2.56,2.7,2.69,2.02,,2.16,1.97
c_1,14.74,11.13,0.16,12.89,10.91,12.45,3.3,4.53,1.49,,2.28,2.56,1.92,3.2,2.54,2.12
d_1,13.99,13.98,16.58,0.16,15.18,,3.65,2.38,,2.67,2.01,2.59,1.55,2.96,1.93,1.13
b_1,11.83,14.68,6.73,11.61,0.14,14.82,3.93,3.51,2.65,4.37,2.99,,1.63,2.2,3.78,1.72
a_1,11.04,10.21,16.34,,6.35,0.09,3.18,3.74,2.58,,2.9,2.92,2.05,,,
h_1,2.6,3.59,3.13,3.23,2.81,3.18,0.07,0.93,0.52,0.82,0.89,0.72,,0.7,0.76,0.49
g_1,2.95,5.9,2.97,3.72,3.85,4.03,0.63,0.06,0.89,0.67,1.13,0.65,0.28,0.68,0.82,
d_0,1.87,1.67,2.93,,2.21,2.58,0.67,0.67,0.09,0.54,0.45,0.52,0.37,0.45,0.58,0.4
c_0,2.63,2.79,,1.2,2.86,,0.73,0.87,0.54,0.08,0.49,0.55,0.36,0.37,0.7,0.37
f_0,,2.34,2.91,3.3,2.76,2.21,0.64,0.37,0.55,0.47,0.07,0.63,0.39,0.6,,0.25
b_0,2.7,2.52,4.63,2.68,,2.4,0.9,0.53,0.5,0.25,0.63,0.07,0.47,,0.55,0.35
h_0,1.91,1.8,1.29,1.32,1.99,2.05,,0.79,0.32,0.31,0.29,0.22,,0.66,0.27,0.25
e_0,3.59,,2.27,3.55,2.89,,0.63,0.84,0.72,0.53,0.24,,0.33,0.05,0.47,0.28
a_0,3.52,2.96,3.33,3.26,3.24,,0.93,0.97,0.33,0.75,,0.25,0.24,0.38,0.05,0.39
g_0,2.33,1.9,1.35,1.98,2.59,,0.4,,0.38,0.32,0.32,0.45,0.17,0.25,0.24,
