,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.32,0.93,0.95,1.05,1.25,0.95,1.11,0.74,0.92,0.92,,0.9,1.08,1.03,0.97
e_1,0.76,1.0,0.83,1.13,0.95,0.84,0.95,0.99,0.85,1.49,0.92,1.31,1.06,1.02,1.09,
d_1,1.08,1.21,1.0,0.88,1.01,0.88,1.05,1.24,0.92,,1.41,0.86,0.86,0.8,0.88,1.07
c_1,1.05,0.89,1.14,1.0,1.2,0.95,1.18,,0.86,0.81,1.02,0.85,0.96,0.79,1.21,1.11
b_1,0.95,1.05,0.99,0.83,1.0,1.44,1.12,1.15,0.81,0.98,,0.88,1.19,1.05,0.87,0.89
a_1,0.8,1.2,1.14,1.05,0.69,1.0,0.92,1.11,,1.39,0.96,0.94,1.1,,0.83,
h_1,1.05,1.05,0.95,0.85,0.89,1.09,1.0,0.93,1.14,0.99,1.26,0.93,,0.9,1.16,0.87
c_0,0.9,1.01,0.81,,0.87,0.9,1.08,1.0,1.06,1.06,1.44,0.94,1.07,1.0,0.98,0.86
g_1,1.35,1.18,1.09,1.17,1.24,,0.87,0.95,1.0,0.77,0.94,1.08,0.71,0.89,,
d_0,1.08,0.67,,1.23,1.02,0.72,1.01,0.94,1.3,1.0,1.02,1.04,1.03,1.13,1.17,0.98
b_0,1.08,1.09,0.71,0.98,,1.04,0.79,0.7,1.06,0.98,1.0,1.31,0.98,,0.93,1.08
f_0,,0.76,1.16,1.18,1.13,1.06,1.08,1.06,0.93,0.96,0.76,1.0,1.25,1.14,0.69,1.28
h_0,1.11,0.94,1.16,1.04,0.84,0.91,,0.94,1.41,0.97,1.02,0.8,,0.75,1.12,0.88
a_0,0.93,0.98,1.24,1.27,0.95,,1.11,1.0,1.12,0.88,,0.88,1.34,1.0,0.97,
g_0,0.97,0.92,1.14,0.83,1.15,1.21,0.86,1.02,,0.86,1.08,1.45,0.89,1.04,,0.87
e_0,1.03,,0.94,0.9,1.13,,1.15,1.16,,1.02,0.93,0.78,1.13,,1.14,1.0
