,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.41,2.3,1.63,1.66,1.57,1.38,2.93,3.67,3.09,3.45,2.96,3.59,4.11,2.99,3.26,4.28
e_1,1.63,2.43,2.01,1.54,1.66,1.68,3.37,5.22,3.33,3.63,3.95,3.53,4.85,3.66,3.94,4.39
c_1,1.74,1.41,2.6,1.68,2.59,1.85,3.11,2.81,3.27,2.57,3.42,2.7,4.34,3.34,3.49,4.9
d_1,1.67,1.72,1.39,2.64,1.61,1.68,3.44,3.12,3.29,5.66,4.08,4.42,4.42,4.1,3.67,4.13
b_1,1.7,1.57,1.58,1.63,2.84,2.84,3.19,3.85,3.21,3.39,3.33,2.87,4.49,3.79,3.61,4.59
a_1,1.81,1.64,1.8,1.73,1.51,3.25,3.23,3.81,3.14,3.4,3.48,3.91,4.67,3.94,3.83,4.62
h_1,2.02,1.71,1.86,1.73,1.63,1.54,4.47,3.25,4.02,3.39,3.48,3.8,3.81,3.41,3.64,5.34
d_0,1.72,1.41,2.57,1.57,1.88,1.7,3.57,4.31,3.32,3.04,4.1,3.74,4.6,3.75,3.99,5.49
g_1,1.73,1.57,1.59,2.35,1.64,1.54,3.29,3.36,4.83,3.69,4.9,3.96,4.33,4.56,4.76,4.23
c_0,1.82,1.83,1.68,1.67,1.6,1.62,3.77,3.82,3.85,4.65,3.89,6.34,4.97,4.57,4.9,4.9
f_0,1.55,1.37,1.92,1.81,1.92,1.94,3.68,3.81,3.35,4.28,4.89,4.14,4.79,7.02,4.16,4.79
b_0,1.84,1.77,2.02,1.73,1.57,1.44,3.54,3.41,3.68,3.09,3.75,4.91,4.83,4.25,6.31,5.26
h_0,2.09,1.63,1.67,1.71,1.69,1.65,3.14,3.63,3.84,3.4,3.7,3.89,4.35,4.07,4.09,5.4
e_0,1.68,1.45,1.92,1.8,2.01,1.69,3.86,3.77,3.29,3.45,3.44,3.97,5.16,5.77,4.6,5.12
a_0,1.99,1.69,1.98,1.66,1.78,1.39,3.47,3.48,3.13,3.28,3.65,3.14,4.9,4.04,5.66,5.1
g_0,1.47,1.62,1.76,2.25,1.82,1.71,3.1,3.15,3.17,4.17,4.93,4.09,4.41,4.95,3.73,4.43
