,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.46,0.61,0.74,0.95,0.71,0.78,1.54,1.48,1.71,2.71,2.07,1.82,2.08,1.51,0.85,1.64
d_1,0.86,2.47,0.73,0.68,0.77,0.77,1.44,1.23,2.83,0.81,1.82,1.68,2.19,1.58,1.89,1.81
f_1,1.16,0.83,2.48,0.67,0.71,0.64,1.49,1.57,1.55,1.78,0.53,1.66,1.76,1.91,1.24,2.13
c_1,0.58,0.73,0.83,2.61,1.31,0.68,1.36,1.47,0.64,1.5,1.78,1.02,2.27,1.69,1.69,2.23
b_1,0.8,0.63,0.77,0.63,2.66,1.37,1.62,1.44,1.4,1.66,1.73,0.67,2.54,1.72,1.93,2.05
a_1,0.73,0.77,0.78,0.97,0.66,3.15,1.31,1.75,1.59,1.78,1.6,2.33,1.96,0.73,1.88,2.35
h_1,0.88,1.13,1.27,1.13,0.9,0.83,3.76,2.2,2.03,1.87,2.16,2.64,1.38,2.05,1.99,3.43
g_1,0.94,1.62,0.91,0.69,0.98,0.87,1.85,4.21,2.15,2.05,2.98,2.43,1.88,1.95,2.22,1.89
c_0,0.97,0.95,1.19,0.81,1.01,1.05,2.25,2.19,3.83,2.14,2.23,3.85,2.3,2.95,2.5,3.15
d_0,0.97,0.45,1.04,1.79,1.05,0.72,2.19,1.6,1.51,3.76,2.2,2.39,2.63,2.06,2.02,2.53
f_0,0.86,1.18,0.8,0.99,1.11,0.93,2.18,1.91,2.51,2.14,4.15,2.63,3.19,2.22,4.48,2.92
b_0,0.89,1.39,1.2,1.29,0.5,0.66,1.94,1.86,1.9,1.87,2.23,4.22,3.51,4.2,2.04,2.36
h_0,0.88,0.99,1.37,1.05,0.87,1.02,1.36,3.05,2.4,2.42,2.08,2.02,1.82,2.53,1.99,3.78
a_0,1.1,1.18,1.16,1.06,0.89,,2.22,1.99,1.99,2.24,2.44,1.84,3.47,4.73,2.57,3.39
e_0,0.6,1.24,1.41,1.05,0.82,1.15,2.26,2.09,2.07,2.32,1.71,2.57,3.32,2.02,4.75,2.8
g_0,0.96,1.54,0.86,1.13,0.9,0.91,1.79,1.15,1.93,1.88,2.63,2.67,2.41,2.22,2.54,1.8
