,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.91,1.25,0.75,0.74,0.65,0.57,0.92,0.83,0.84,0.91,0.84,0.58,0.88,0.82,0.57,0.95
e_1,0.83,2.0,0.64,0.96,0.73,0.63,0.94,0.7,0.81,1.71,0.95,0.94,1.04,1.07,0.77,1.03
d_1,0.84,0.72,2.3,0.57,0.67,0.73,0.98,1.08,1.75,0.6,1.17,1.12,1.02,1.08,0.97,1.05
c_1,0.69,0.65,0.77,2.31,1.34,0.85,0.84,0.97,0.61,0.82,0.7,0.98,0.94,0.86,1.04,0.84
b_1,0.75,0.62,0.71,0.85,2.57,1.4,0.92,0.92,0.89,0.85,0.68,0.96,1.01,0.71,0.97,0.9
a_1,0.8,0.68,0.88,0.76,0.74,3.58,1.14,1.14,0.93,0.88,1.0,1.01,0.93,0.72,1.15,0.99
h_1,1.15,0.8,0.79,0.82,0.64,0.69,2.19,1.44,1.06,0.91,1.18,1.03,0.9,1.17,1.23,1.34
g_1,0.7,0.7,1.39,0.71,0.74,0.83,0.87,2.57,1.27,0.63,1.25,1.78,1.07,1.16,1.27,0.95
c_0,1.01,0.86,1.0,0.66,0.59,0.66,1.15,1.04,1.7,1.04,2.06,1.3,1.21,1.35,1.27,1.21
d_0,0.91,0.8,0.59,1.53,0.85,0.64,1.09,0.93,0.72,1.6,1.23,0.94,1.23,1.02,1.02,1.0
b_0,0.96,0.85,1.0,0.9,0.46,0.66,1.2,1.1,1.01,0.95,1.97,1.09,1.13,1.97,1.17,1.1
f_0,0.62,0.72,0.93,0.81,0.83,0.91,1.1,1.18,1.05,1.26,1.34,2.36,1.25,1.31,2.81,1.32
h_0,1.15,0.9,0.92,0.76,0.85,0.72,0.62,1.27,0.91,0.84,1.02,0.96,0.78,1.06,1.11,1.28
a_0,0.98,0.81,0.91,0.91,0.92,0.53,1.18,0.89,1.1,1.03,1.13,1.0,1.27,2.3,0.88,1.09
e_0,0.94,0.58,1.04,0.87,0.79,0.6,1.09,1.32,0.98,1.14,1.25,1.3,1.14,1.62,3.02,1.07
g_0,0.73,0.75,1.37,0.85,0.81,0.67,0.92,0.8,1.05,0.9,1.12,1.6,1.07,1.1,1.42,0.83
