,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.49,0.39,0.46,0.53,0.43,0.39,0.57,0.87,0.42,0.54,0.54,0.59,0.62,0.37,0.58,0.22
f_1,0.76,1.51,0.49,0.42,0.41,0.28,0.49,0.53,0.48,0.53,0.53,0.24,0.62,0.43,0.51,0.32
d_1,0.53,0.51,1.53,0.4,0.41,0.33,0.53,0.27,0.56,0.91,0.52,0.56,0.53,0.5,0.48,0.41
c_1,0.41,0.51,0.46,1.56,0.79,0.3,0.59,0.54,0.45,0.3,0.54,0.44,0.61,0.45,0.54,0.39
b_1,0.45,0.48,0.5,0.39,1.61,0.73,0.52,0.67,0.45,0.61,0.3,0.6,0.48,0.49,0.43,0.65
a_1,0.52,0.67,0.47,0.62,0.36,1.73,0.51,0.63,0.56,0.54,0.46,0.52,0.6,0.16,0.62,0.47
h_1,0.66,0.97,0.72,0.65,0.56,0.71,1.71,0.84,0.94,0.84,0.89,0.76,0.53,0.65,1.19,0.99
d_0,0.67,0.87,0.41,1.25,0.63,0.6,0.96,1.47,0.7,0.71,0.86,0.93,1.08,0.78,0.9,0.8
g_1,0.79,0.73,1.01,0.7,0.68,0.41,0.75,0.86,1.8,0.83,0.91,1.03,0.89,0.72,0.55,0.78
c_0,0.77,0.9,0.71,0.51,0.54,0.74,1.07,0.8,0.83,1.56,1.47,1.16,1.19,0.78,1.22,0.86
b_0,0.82,0.77,0.9,0.75,0.4,0.7,0.89,1.0,0.79,0.76,1.6,0.93,1.04,1.18,0.97,0.81
f_0,0.7,0.62,0.79,0.97,0.66,0.73,0.91,0.97,0.86,0.82,0.97,1.6,1.05,0.97,0.93,1.29
h_0,0.81,1.0,0.9,0.81,0.78,0.56,0.59,0.83,1.09,0.77,1.07,0.9,0.65,0.72,1.02,0.77
a_0,0.87,1.01,0.87,0.84,0.7,,0.94,0.94,0.95,0.91,1.04,0.93,1.32,1.71,1.02,0.91
g_0,0.78,0.72,1.21,0.79,0.82,0.61,0.75,0.86,0.59,0.66,0.87,1.33,0.93,0.76,0.69,0.98
e_0,0.38,0.97,0.95,1.16,0.65,0.79,0.67,0.78,0.77,0.87,0.93,0.94,0.92,0.84,0.9,1.69
