,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.74,0.91,1.07,0.89,1.18,0.99,1.37,0.87,0.89,0.81,1.04,1.21,1.02,,1.2
f_1,1.36,1.0,1.02,1.24,1.09,1.15,0.7,1.02,1.04,0.89,0.97,,0.78,0.95,0.96,0.98
d_1,1.1,0.98,1.0,0.75,0.89,0.89,1.14,,1.03,1.51,1.17,0.82,1.06,0.79,1.1,0.81
c_1,0.93,0.8,1.34,1.0,1.32,1.05,1.13,0.73,1.12,,0.96,1.05,1.17,1.05,0.88,0.73
b_1,1.13,0.92,1.13,0.76,1.0,1.35,1.0,1.13,0.88,0.88,,1.09,0.97,0.94,0.94,1.0
a_1,0.85,0.87,1.12,0.95,0.74,1.0,1.24,1.11,1.0,1.03,1.35,0.92,1.17,,,1.21
h_1,1.01,1.43,0.88,0.88,1.0,0.81,1.0,0.99,1.0,0.88,1.16,0.96,,1.11,0.73,1.0
d_0,0.73,0.98,,1.37,0.88,0.9,1.01,1.0,0.96,1.12,1.07,1.06,1.08,0.81,1.08,1.15
g_1,1.15,0.96,0.97,0.89,1.14,1.0,1.0,1.04,1.0,0.89,0.92,1.31,0.91,0.97,0.83,
c_0,1.13,1.13,0.66,,1.14,0.97,1.14,0.89,1.12,1.0,1.33,0.93,0.9,0.88,1.2,0.92
b_0,1.23,1.03,0.86,1.04,,0.74,0.86,0.94,1.08,0.75,1.0,0.91,1.09,1.68,1.11,1.12
f_0,0.96,,1.22,0.96,0.92,1.09,1.04,0.94,0.77,1.07,1.1,1.0,0.87,1.18,,0.8
h_0,0.83,1.29,0.94,0.85,1.03,0.85,,0.93,1.1,1.11,0.92,1.15,,0.72,1.02,1.25
a_0,0.98,1.05,1.27,0.95,1.07,,0.9,1.24,1.04,1.14,0.59,0.85,1.39,1.0,,1.04
e_0,,1.04,0.91,1.13,1.06,,1.37,0.93,1.21,0.83,0.9,,0.98,,1.0,1.17
g_0,0.83,1.02,1.24,1.37,1.0,0.83,1.0,0.87,,1.08,0.89,1.26,0.8,0.96,0.86,
