,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,0.87,0.84,0.92,0.96,0.78,0.36,0.39,0.35,0.55,0.35,0.51,0.24,0.37,0.37,0.33
e_1,0.6,0.41,0.82,0.98,0.87,0.89,0.62,0.53,0.4,0.49,0.5,0.56,0.41,0.4,0.66,0.49
d_1,0.93,1.01,0.38,0.8,1.05,0.68,0.44,0.6,0.47,0.31,0.33,0.36,0.33,0.42,0.35,0.23
c_1,0.86,0.83,1.01,0.38,0.97,0.84,0.42,0.25,0.46,0.45,0.32,0.36,0.34,0.37,0.38,0.35
b_1,0.9,0.87,0.83,0.56,0.37,1.26,0.59,0.43,0.51,0.55,0.88,0.41,0.37,0.38,0.4,0.43
a_1,1.16,0.82,1.07,0.91,0.5,0.31,0.47,0.41,0.39,0.65,0.44,0.41,0.3,0.68,0.39,0.28
h_1,0.92,0.7,0.85,0.81,0.65,0.72,0.25,0.32,0.35,0.49,0.34,0.29,0.48,0.32,0.31,0.33
d_0,0.81,0.46,1.08,1.03,0.79,0.78,0.47,0.26,0.42,0.45,0.29,0.4,0.32,0.37,0.38,0.37
c_0,0.83,0.86,0.46,1.66,0.73,0.86,0.44,0.41,0.25,0.47,0.44,0.3,0.36,0.35,0.34,0.29
g_1,0.74,0.86,0.9,0.91,0.81,0.57,0.32,0.34,0.33,0.22,0.39,0.42,0.25,0.32,0.34,0.37
b_0,0.84,0.64,0.76,1.04,0.94,0.84,0.41,0.38,0.23,0.36,0.24,0.33,0.3,0.41,0.31,0.24
f_0,1.55,0.67,0.7,0.9,0.66,0.72,0.49,0.38,0.38,0.27,0.43,0.22,0.32,0.37,0.48,0.23
h_0,0.84,0.68,0.73,0.79,0.73,0.83,0.59,0.32,0.33,0.44,0.36,0.35,0.39,0.32,0.33,0.33
a_0,0.88,0.74,0.62,0.75,1.08,0.99,0.39,0.34,0.31,0.53,0.21,0.31,0.4,0.21,0.3,0.32
e_0,0.96,0.93,0.72,0.74,0.84,0.69,0.43,0.35,0.32,0.38,0.4,0.19,0.33,0.36,0.2,0.27
g_0,0.89,0.71,0.77,0.81,0.67,0.82,0.34,0.36,0.35,0.54,0.39,0.34,0.24,0.38,0.3,0.36
