,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,105.17,67.54,119.41,80.0,135.66,326.18,9142.34,26402.32,21020.66,25367.7,42861.5,44694.92,115890.44,138904.26,200321.89,191586.28
f_1,88.48,118.76,86.89,80.69,113.22,318.26,7763.13,15413.4,17418.5,23309.85,26809.64,40455.96,88347.76,119097.06,186115.9,144672.06
c_1,48.59,63.99,143.36,88.81,185.98,292.95,7323.74,12227.83,15762.08,14193.72,32487.44,31437.53,103290.96,108416.14,184640.88,160569.7
d_1,56.58,75.4,65.03,148.91,110.7,279.61,8133.38,11042.66,16112.3,33853.77,35508.57,45494.58,100164.02,115356.51,178907.32,173031.63
b_1,45.84,58.09,61.34,80.25,192.58,472.04,7566.81,12395.92,16953.44,19482.68,31884.15,29616.34,85556.55,93780.11,128470.82,152801.2
a_1,36.12,40.17,54.51,67.64,68.49,419.58,5470.46,9966.86,12697.76,15195.03,25570.83,30560.25,63262.59,57370.17,112012.0,141883.81
h_1,14.74,23.07,24.33,25.11,31.73,76.28,3138.76,3601.7,6098.14,5845.31,9150.06,9715.35,24102.91,31311.28,53498.72,48018.77
d_0,10.98,15.21,32.75,17.47,28.69,64.09,2018.85,4393.49,4210.86,3534.53,7710.33,8038.95,23283.67,29371.57,39108.34,45770.04
g_1,11.1,14.18,19.05,25.85,23.71,59.01,1704.48,3158.98,5880.99,4630.86,9928.43,8205.77,17804.15,22952.23,31387.07,39486.25
c_0,12.98,15.27,15.58,17.33,19.43,52.18,1904.95,3821.59,3937.04,6210.46,7883.9,13654.51,19955.45,29338.23,36459.26,39582.62
f_0,9.14,12.07,17.56,16.28,21.29,43.82,1632.93,2763.39,2999.02,3984.35,8175.85,7804.31,20314.2,21315.34,29581.61,56867.28
b_0,9.75,13.1,16.32,13.52,16.9,36.92,1586.92,3076.56,3133.32,3457.14,5874.18,9899.09,16748.79,36641.12,27173.17,33597.96
h_0,7.51,11.39,10.19,13.04,16.42,38.71,987.73,1966.64,3035.78,3197.42,4321.84,5650.66,11368.03,16327.89,28416.52,24409.59
a_0,6.85,8.5,11.39,9.68,14.35,31.55,1153.51,1994.17,2262.68,2461.89,4419.66,4384.74,12003.47,21693.16,20429.95,23530.4
g_0,5.93,6.88,8.29,12.82,14.11,30.26,940.06,1581.69,1979.61,2871.74,5406.58,4901.97,9830.4,12629.97,18340.89,23485.1
e_0,5.1,8.1,10.13,10.72,12.68,23.76,927.09,1546.26,2011.03,2427.3,2923.54,4093.82,11092.45,13780.69,18053.55,29330.43
