,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,9.97,0.65,0.61,0.97,0.72,0.76,0.96,0.85,2.5,0.72,1.05,0.99,1.03,1.05,0.82,0.93
f_1,1.94,10.88,0.58,0.73,0.53,0.6,0.9,0.79,0.93,0.85,0.61,1.01,0.95,0.85,0.64,0.98
d_1,0.55,0.81,14.61,0.47,0.55,0.65,0.95,0.97,0.48,2.92,1.05,1.51,1.08,1.18,1.13,1.16
c_1,0.59,0.63,0.62,11.28,2.12,0.67,0.88,0.85,0.82,0.46,0.89,0.53,0.9,0.84,0.91,0.86
b_1,0.53,0.66,0.68,0.68,13.29,1.88,0.9,1.05,0.94,0.78,0.93,0.58,0.86,0.69,0.84,0.77
a_1,0.78,0.65,0.85,0.97,0.65,17.14,1.14,0.93,0.93,0.95,1.0,0.89,0.94,0.69,1.05,0.88
h_1,0.72,1.26,0.96,0.82,0.55,0.69,3.31,1.9,0.97,0.92,1.14,0.98,0.88,1.05,1.2,1.44
g_1,0.55,0.78,1.86,0.63,0.76,0.69,0.88,3.77,0.66,1.23,1.94,0.94,1.04,1.19,1.53,1.02
d_0,0.72,0.92,0.48,2.25,0.95,0.62,0.92,0.87,1.84,0.52,0.93,0.9,1.16,1.14,1.01,0.83
c_0,0.72,0.93,1.01,0.68,0.46,0.77,1.28,1.03,1.11,2.47,1.43,3.56,1.31,1.49,1.3,1.49
f_0,0.58,0.68,1.02,0.8,0.88,0.78,1.13,1.28,1.05,1.05,2.8,1.24,1.1,1.13,3.7,1.27
b_0,0.76,1.04,0.89,0.89,0.5,0.58,0.93,1.11,1.01,1.12,1.12,2.7,1.38,2.99,1.13,1.41
h_0,0.71,1.59,1.12,0.6,0.73,0.63,0.68,1.47,0.7,1.12,1.04,1.04,0.84,1.01,0.95,1.43
a_0,0.78,0.88,0.94,0.79,0.79,0.72,1.25,1.04,0.93,1.12,0.99,1.15,1.32,2.79,0.97,1.35
e_0,0.59,1.05,0.99,0.87,0.76,0.62,1.39,1.29,0.99,1.22,1.2,1.44,1.39,1.02,2.91,1.31
g_0,0.67,0.7,1.94,0.71,0.69,0.66,1.05,0.97,0.74,1.35,1.97,1.22,1.17,1.29,1.64,0.88
