,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.46,0.63,0.86,0.55,0.62,0.51,0.93,1.78,0.75,0.95,0.98,1.08,1.04,1.07,0.68,0.93
f_1,1.2,2.64,0.6,0.61,0.48,0.67,0.76,0.81,0.68,0.8,0.91,0.4,0.86,0.8,0.59,0.84
c_1,0.56,0.68,2.7,0.62,1.19,0.55,1.03,0.83,0.87,0.33,0.63,0.97,0.9,0.88,0.94,0.72
d_1,0.58,0.73,0.56,2.93,0.62,0.5,0.85,0.41,1.1,1.79,1.23,1.0,1.03,1.22,1.0,1.07
b_1,0.5,0.58,0.71,0.65,3.2,1.35,0.81,0.79,0.88,0.94,0.47,0.96,0.91,0.6,0.96,1.09
a_1,0.77,0.77,0.51,0.7,0.64,4.49,1.13,0.91,0.89,0.87,0.94,0.75,1.04,0.39,1.04,0.97
h_1,0.78,1.17,0.78,0.72,0.81,0.68,2.98,1.05,1.55,0.88,1.08,1.18,0.7,1.19,1.05,1.33
d_0,0.71,0.75,1.57,0.45,0.72,0.67,1.13,2.08,1.11,0.77,1.23,1.16,1.06,1.02,1.32,1.3
g_1,0.7,0.67,0.72,1.41,0.72,0.65,0.92,0.79,3.29,1.23,1.1,1.76,1.3,0.82,1.44,0.81
c_0,0.75,0.9,0.46,1.02,0.55,0.77,1.2,1.16,1.05,2.19,2.36,1.43,1.34,1.54,1.27,1.36
b_0,0.85,0.9,0.89,0.89,0.38,0.61,1.11,1.14,1.34,1.15,2.4,1.32,1.24,2.54,1.3,1.17
f_0,0.63,0.46,0.94,1.03,0.83,0.72,1.12,1.12,1.31,1.11,1.26,2.6,1.25,1.42,2.51,1.38
h_0,0.78,1.13,0.76,1.03,0.63,0.79,0.61,1.09,1.43,1.08,1.17,1.03,0.76,1.14,1.16,1.76
a_0,0.81,1.01,0.84,0.84,0.59,0.52,1.01,1.25,1.05,1.33,1.35,1.08,1.35,3.16,1.31,1.22
e_0,0.49,0.85,0.9,0.89,0.9,0.92,1.11,1.06,1.29,0.97,1.28,1.13,1.37,1.05,3.32,1.33
g_0,0.71,0.7,0.71,1.42,0.69,0.79,1.19,0.92,0.78,1.23,1.1,1.93,1.17,1.1,1.27,0.8
