,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.05,1.54,1.92,1.7,1.59,1.37,0.56,0.69,0.56,0.49,0.61,0.45,0.31,0.43,0.44,0.41
d_1,2.07,1.05,1.98,1.66,1.7,1.25,0.66,0.46,0.61,0.55,0.47,0.48,0.37,0.28,0.41,0.38
e_1,1.2,1.7,1.05,2.0,1.74,1.66,0.74,0.7,0.68,0.56,0.62,0.59,0.44,0.4,0.5,0.74
c_1,1.83,2.3,1.58,1.05,2.03,1.31,0.62,0.63,0.36,0.58,0.54,0.43,0.45,0.41,0.46,0.43
b_1,2.22,2.05,1.98,1.24,1.06,2.39,0.84,0.77,0.6,0.67,0.56,0.74,0.44,0.49,0.47,0.5
a_1,3.16,3.27,2.5,3.29,1.51,1.06,1.1,1.01,0.97,0.77,0.81,0.89,0.67,0.63,0.88,0.73
h_1,5.19,4.86,4.47,4.86,4.16,3.89,1.27,1.91,1.38,1.29,1.27,1.3,1.33,1.05,1.01,1.1
g_1,5.91,5.9,5.42,6.06,5.28,4.25,1.75,1.3,1.66,1.57,1.6,1.79,1.04,1.18,1.32,1.35
d_0,5.65,7.22,3.86,6.83,6.09,4.83,2.23,2.49,1.41,1.48,1.74,1.53,1.37,1.33,1.48,1.55
c_0,7.34,4.24,6.21,8.83,5.99,5.18,2.6,2.16,2.61,1.41,1.74,2.05,1.45,1.34,1.66,1.63
f_0,7.91,6.15,6.18,6.79,5.78,4.97,2.45,1.82,2.35,1.71,1.4,1.78,1.42,0.99,1.52,1.82
b_0,7.83,6.05,6.04,8.09,7.85,5.03,2.56,2.23,2.09,1.24,1.87,1.44,1.63,1.39,2.07,1.57
h_0,8.98,7.47,7.38,7.79,8.05,6.34,3.79,2.99,2.52,2.15,2.18,1.96,2.14,1.97,1.86,1.78
g_0,8.52,9.49,8.64,9.2,7.56,7.15,2.77,3.78,2.5,2.53,2.84,2.4,1.6,2.17,2.13,2.02
a_0,8.41,9.4,8.67,9.98,10.75,10.06,3.64,3.6,2.5,2.25,2.62,1.54,2.19,1.91,1.52,2.07
e_0,12.81,8.91,8.97,9.29,8.55,7.09,3.32,3.0,2.91,2.24,1.73,2.62,2.32,1.9,2.73,1.52
