,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.31,1.19,1.32,1.58,3.51,16.8,33.65,32.44,33.08,40.36,53.02,65.74,88.16,91.63,144.49
e_1,0.76,1.0,1.24,1.55,1.78,3.78,19.56,34.02,43.04,35.68,35.8,65.67,73.82,97.76,120.38,146.19
d_1,0.85,0.79,1.0,0.98,1.29,2.77,15.03,19.73,25.62,34.73,31.88,41.54,55.51,76.51,92.49,94.86
c_1,0.74,0.64,1.02,1.0,1.62,2.76,15.0,25.78,18.39,22.71,23.05,38.46,56.69,67.71,84.1,92.04
b_1,0.62,0.57,0.81,0.62,1.0,3.5,11.33,18.43,18.6,23.47,22.19,35.8,47.79,46.45,63.9,81.91
a_1,0.28,0.26,0.35,0.36,0.29,1.0,5.74,9.16,8.46,9.16,10.59,14.88,19.66,24.45,26.27,35.91
h_1,0.06,0.05,0.07,0.07,0.09,0.18,1.0,1.85,1.58,1.76,1.98,2.73,3.44,4.08,5.5,7.69
g_1,0.03,0.03,0.05,0.04,0.05,0.11,0.53,1.0,0.87,1.08,1.16,2.0,2.04,3.07,3.7,4.11
d_0,0.03,0.02,0.04,0.05,0.05,0.12,0.64,1.1,1.0,0.93,1.06,1.83,2.35,2.64,3.6,4.59
c_0,0.03,0.03,0.03,0.05,0.04,0.1,0.58,0.91,1.05,1.0,1.43,1.57,2.31,3.11,3.01,4.33
b_0,0.03,0.03,0.03,0.04,0.04,0.1,0.52,0.87,0.99,0.73,1.0,1.42,1.85,3.46,2.68,3.59
f_0,0.02,0.01,0.02,0.02,0.03,0.07,0.35,0.51,0.53,0.61,0.69,1.0,1.3,1.82,2.93,2.09
h_0,0.02,0.01,0.02,0.02,0.02,0.05,0.29,0.49,0.42,0.43,0.55,0.77,1.0,1.14,1.43,2.24
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.35,0.38,0.33,0.31,0.6,0.85,1.0,1.18,1.58
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.18,0.28,0.26,0.31,0.37,0.37,0.71,0.81,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.25,0.22,0.24,0.3,0.49,0.46,0.61,0.83,1.0
