,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,1.08,1.01,1.2,1.13,1.1,0.24,0.27,0.32,0.23,0.23,0.33,0.12,0.22,0.19,0.24
e_1,0.72,0.43,1.21,1.32,1.26,1.09,0.35,0.3,0.35,0.23,0.25,0.33,0.17,0.21,0.21,0.43
d_1,1.24,1.33,0.41,1.2,1.27,1.05,0.28,0.49,0.21,0.24,0.19,0.23,0.15,0.2,0.12,0.22
c_1,1.28,1.02,1.53,0.41,1.19,1.06,0.33,0.14,0.4,0.33,0.24,0.24,0.19,0.24,0.14,0.21
b_1,1.47,1.29,1.37,0.73,0.39,1.45,0.41,0.24,0.4,0.38,0.42,0.25,0.19,0.26,0.2,0.23
a_1,2.08,1.68,1.77,1.65,0.74,0.32,0.61,0.33,0.56,0.35,0.52,0.36,0.28,0.48,0.26,0.3
h_1,2.24,2.22,2.07,2.44,1.89,1.5,0.31,0.44,0.64,0.52,0.47,0.44,0.43,0.39,0.3,0.41
d_0,2.35,1.36,3.39,2.92,2.39,2.44,0.86,0.33,0.83,0.55,0.6,0.49,0.39,0.52,0.39,0.47
g_1,2.54,2.46,2.11,2.77,2.63,2.15,0.54,0.64,0.27,0.53,0.54,0.46,0.26,0.46,0.5,0.43
c_0,2.5,2.5,1.45,3.79,2.64,2.72,0.87,0.71,0.65,0.33,0.55,0.52,0.38,0.49,0.36,0.53
b_0,2.66,2.54,2.04,3.51,3.59,2.37,0.72,0.62,0.68,0.29,0.31,0.45,0.37,0.47,0.33,0.44
f_0,3.9,2.41,2.5,2.49,2.46,2.78,0.85,0.54,0.47,0.48,0.54,0.3,0.38,0.6,0.24,0.44
h_0,2.99,2.72,2.85,3.09,3.48,2.4,1.2,0.74,0.7,0.59,0.53,0.57,0.63,0.59,0.43,0.44
a_0,3.35,3.36,2.97,3.04,4.6,3.11,1.12,0.93,0.88,0.56,0.36,0.68,0.45,0.32,0.43,0.67
g_0,3.38,2.99,3.36,3.43,3.54,3.49,0.77,0.7,1.25,0.71,0.64,0.71,0.39,0.53,0.58,0.56
e_0,4.92,4.38,2.68,3.35,3.25,3.38,0.95,0.68,1.0,0.64,0.71,0.33,0.51,0.67,0.41,0.28
