,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.14,5.93,12.79,11.51,10.13,12.28,3.73,3.12,2.13,2.46,2.27,2.95,2.51,1.61,7.2,1.98
f_1,11.27,1.14,10.41,13.65,9.88,11.82,1.94,4.99,2.41,2.15,2.33,11.78,1.94,1.03,2.12,1.39
d_1,13.32,14.44,1.14,11.07,12.15,13.41,3.26,2.01,9.12,2.31,2.75,2.04,2.64,1.58,2.6,1.04
c_1,10.0,12.32,15.95,1.14,14.33,13.6,4.02,3.39,1.47,9.29,2.82,2.49,2.69,1.52,2.16,1.79
b_1,16.36,15.63,16.1,6.93,1.15,12.86,4.81,4.75,3.01,3.73,13.26,4.27,2.37,2.65,3.31,2.92
a_1,21.08,22.34,25.99,28.27,11.36,1.15,8.0,7.8,4.41,4.45,5.4,3.1,37.25,3.02,3.34,5.53
h_1,24.71,31.27,23.25,27.53,30.05,24.88,1.89,6.65,6.14,6.28,5.92,6.71,5.2,14.9,4.65,4.63
g_1,32.44,41.81,30.56,30.74,25.18,28.65,6.5,1.91,7.76,6.68,6.56,7.32,7.21,5.2,6.02,12.6
d_0,18.02,36.69,70.23,36.81,36.78,40.23,9.9,10.11,2.72,7.2,6.42,4.74,7.1,6.17,5.73,5.34
c_0,31.09,40.4,16.18,113.07,69.87,33.18,10.4,11.97,9.0,2.64,6.1,5.43,5.66,5.4,6.55,4.5
b_0,33.61,36.32,29.74,53.66,121.52,30.02,10.81,11.05,6.89,3.58,2.48,6.62,6.77,5.61,7.2,4.77
f_0,49.75,171.24,37.94,52.77,46.58,40.23,12.42,7.4,9.12,7.2,7.18,2.64,6.77,8.15,7.34,3.94
a_0,44.95,56.19,48.54,45.88,71.67,,15.41,13.3,9.78,8.66,4.96,8.19,2.96,7.08,11.12,7.16
h_0,47.83,58.95,50.02,67.36,45.82,40.23,46.22,13.55,10.23,8.66,9.53,8.94,9.12,27.0,9.92,6.56
e_0,169.59,89.9,45.22,54.59,59.47,52.53,14.1,19.41,13.24,10.02,11.96,4.83,9.51,7.2,2.84,7.5
g_0,95.67,70.51,51.58,75.38,68.17,65.21,16.64,47.87,15.0,13.93,16.94,15.09,11.46,7.85,13.59,24.23
