,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.41,1.46,1.11,1.3,1.27,1.09,0.61,0.53,0.57,0.87,0.64,1.27,0.51,0.41,0.54,0.57
e_1,0.82,0.41,1.46,1.33,1.29,1.68,0.67,0.6,0.66,0.8,0.61,0.72,0.65,0.51,1.35,0.57
d_1,1.58,1.36,0.39,1.25,1.13,1.2,0.79,0.59,1.18,0.46,0.54,0.6,0.58,0.47,0.64,0.38
c_1,1.34,1.3,1.6,0.38,1.64,1.13,0.63,1.03,0.35,0.61,0.5,0.53,0.63,0.48,0.59,0.38
b_1,1.24,1.39,1.38,0.78,0.37,1.67,0.88,0.62,0.61,0.8,1.54,0.51,0.51,0.59,0.47,0.6
a_1,1.58,1.26,1.45,1.58,0.79,0.32,0.78,0.64,0.68,0.65,0.6,0.53,0.99,0.47,0.71,0.51
h_1,1.01,0.91,0.9,1.07,1.02,0.84,0.26,0.45,0.46,0.71,0.43,0.42,0.39,0.67,0.37,0.35
c_0,1.06,1.05,0.56,1.9,1.04,0.99,0.5,0.28,0.54,0.54,0.54,0.4,0.47,0.36,0.38,0.37
d_0,1.13,0.56,2.04,1.23,0.93,0.98,0.51,0.46,0.28,0.58,0.47,0.52,0.37,0.35,0.51,0.43
g_1,0.9,0.86,1.21,1.09,0.94,0.98,0.4,0.41,0.46,0.24,0.43,0.48,0.44,0.34,0.4,0.55
b_0,0.83,0.9,0.85,1.28,2.03,0.96,0.46,0.27,0.47,0.57,0.26,0.46,0.57,0.35,0.4,0.36
f_0,1.54,0.85,0.93,0.85,1.18,1.0,0.48,0.5,0.42,0.36,0.41,0.25,0.44,0.39,0.48,0.26
a_0,1.11,0.89,0.88,0.97,1.21,1.95,0.45,0.33,0.56,0.44,0.25,0.44,0.23,0.4,0.46,0.43
h_0,1.23,0.85,0.85,1.21,0.91,0.8,0.66,0.41,0.49,0.48,0.43,0.41,0.36,0.55,0.35,0.45
e_0,1.29,1.81,0.85,0.9,0.91,0.81,0.51,0.42,0.41,0.51,0.49,0.23,0.45,0.34,0.21,0.36
g_0,1.06,0.95,0.87,1.4,0.84,0.88,0.45,0.39,0.45,0.73,0.42,0.41,0.38,0.3,0.37,0.56
