,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.44,1.2,1.83,1.93,2.47,2.37,0.55,0.66,0.47,0.44,0.39,0.4,0.41,0.31,1.43,0.32
f_1,1.89,0.44,2.11,1.92,2.08,1.67,0.39,0.68,0.38,0.37,0.95,0.39,0.38,0.18,0.34,0.27
c_1,1.81,2.01,0.42,2.72,1.95,1.85,0.61,0.58,0.23,0.71,0.43,0.41,0.48,0.34,0.42,0.26
d_1,2.4,2.15,2.52,0.41,1.99,2.09,0.66,0.34,1.19,0.39,0.46,0.38,0.43,0.27,0.35,0.19
b_1,1.96,2.41,1.28,2.47,0.4,2.07,0.74,0.77,0.5,0.55,0.45,1.61,0.49,0.38,0.41,0.44
a_1,2.97,3.36,3.08,2.68,1.49,0.32,0.88,0.88,0.64,0.66,0.54,0.85,1.31,0.54,0.59,0.46
h_1,3.19,3.35,3.01,3.49,3.47,2.67,0.34,0.98,0.68,0.63,0.6,0.66,0.64,0.89,0.58,0.46
g_1,3.7,4.08,3.97,3.14,4.12,3.86,0.77,0.31,0.94,0.63,0.75,0.57,0.63,0.47,0.72,0.99
d_0,1.9,4.0,3.83,8.43,3.37,3.42,1.08,1.44,0.41,0.77,0.77,0.98,0.86,0.48,0.87,0.77
c_0,5.02,5.15,7.06,2.09,4.26,3.59,1.41,1.06,1.22,0.37,0.77,0.72,0.74,0.6,0.68,0.75
f_0,3.43,8.04,4.67,4.01,3.86,3.83,1.33,0.74,0.87,0.74,0.36,0.87,0.65,0.67,0.88,0.39
b_0,4.56,4.18,4.91,3.39,6.73,4.43,1.12,1.09,1.04,0.37,0.78,0.33,0.83,0.6,0.78,0.62
a_0,5.19,4.39,5.1,3.49,6.15,9.97,1.4,1.39,1.18,0.8,0.71,0.52,0.33,0.52,1.07,0.61
h_0,4.48,4.52,4.44,4.0,5.12,4.85,2.15,1.42,1.15,0.96,0.93,1.04,0.92,1.2,0.96,0.7
e_0,8.09,8.22,4.48,4.5,4.48,4.15,1.37,1.28,1.37,0.97,0.49,1.13,0.95,0.9,0.32,0.59
g_0,5.18,5.51,5.56,4.71,4.15,5.8,1.11,3.02,1.12,1.05,1.17,1.15,1.13,0.59,1.18,1.1
