,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,0.84,0.94,0.91,0.65,0.4,0.41,0.44,0.36,0.36,0.3,0.26,0.26,0.25,0.3
e_1,0.87,1.0,0.88,1.06,0.81,0.71,0.55,0.6,0.44,0.42,0.35,0.41,0.35,0.34,0.38,0.33
d_1,1.21,1.09,1.0,0.84,0.81,0.72,0.49,0.48,0.36,0.58,0.4,0.34,0.37,0.34,0.33,0.24
c_1,1.05,0.94,1.22,1.0,1.2,0.7,0.55,0.35,0.46,0.38,0.36,0.36,0.36,0.31,0.34,0.3
b_1,1.09,1.24,1.23,0.85,1.0,1.27,0.63,0.46,0.49,0.48,0.44,0.38,0.37,0.33,0.31,0.34
a_1,1.52,1.39,1.37,1.44,0.79,1.0,0.73,0.62,0.67,0.58,0.65,0.55,0.48,0.56,0.52,0.46
h_1,2.46,1.83,2.03,1.87,1.68,1.31,1.0,0.85,1.13,0.81,0.74,0.66,0.66,0.6,0.64,0.67
d_0,2.36,1.65,2.08,2.9,2.34,1.59,1.18,1.0,1.02,0.88,0.77,0.88,0.77,0.71,0.8,0.74
g_1,2.31,2.24,2.74,2.18,1.97,1.48,0.9,0.98,1.0,0.85,0.9,0.95,0.69,0.76,0.71,0.61
c_0,2.73,2.33,1.81,2.54,2.06,1.68,1.27,1.18,1.2,1.0,1.19,0.86,0.8,0.86,0.72,0.71
b_0,2.92,2.74,2.41,2.85,2.25,1.42,1.37,1.21,1.18,0.83,1.0,0.96,0.85,1.14,0.85,0.74
f_0,3.43,2.4,2.97,2.81,2.71,1.78,1.45,1.13,1.06,1.18,1.11,1.0,1.01,0.87,1.2,0.72
h_0,3.88,2.85,2.72,2.74,2.58,2.1,1.5,1.29,1.45,1.24,1.18,0.97,1.0,0.93,1.01,0.95
a_0,3.84,2.97,2.88,3.22,3.02,1.78,1.73,1.39,1.35,1.2,0.91,1.15,1.03,1.0,1.04,0.85
e_0,3.91,2.84,3.05,2.9,3.16,1.98,1.62,1.24,1.41,1.25,1.22,0.84,0.96,0.99,1.0,1.05
g_0,3.2,2.95,4.11,3.15,3.1,2.36,1.47,1.3,1.65,1.38,1.32,1.41,1.02,1.2,1.01,1.0
