,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.43,2.21,1.86,1.63,1.58,1.48,0.48,0.3,0.31,0.84,0.33,0.3,0.21,0.31,0.31,0.14
e_1,1.91,0.43,0.96,1.92,1.98,1.61,0.61,0.61,0.35,0.35,0.35,0.48,0.27,0.36,0.82,0.32
f_1,1.54,1.64,0.43,1.86,1.78,1.57,0.37,0.9,0.36,0.35,0.33,0.74,0.17,0.34,0.33,0.28
c_1,2.22,1.53,1.81,0.4,1.98,1.91,0.53,0.45,0.63,0.21,0.42,0.41,0.25,0.36,0.34,0.29
b_1,2.1,1.84,2.19,1.09,0.38,2.58,0.56,0.59,0.48,0.44,1.0,0.4,0.28,0.46,0.49,0.36
a_1,2.72,2.16,3.05,2.43,1.17,0.32,0.66,0.7,0.5,0.54,0.67,0.39,0.53,1.04,0.45,0.37
h_1,2.43,2.93,3.61,2.64,2.36,2.45,0.33,0.92,0.64,0.58,0.54,0.47,0.7,0.47,0.44,0.44
g_1,2.76,3.23,3.88,3.42,3.03,2.7,0.64,0.29,0.67,0.61,0.68,0.53,0.36,0.62,0.69,0.61
c_0,1.69,3.45,3.34,6.23,3.51,3.35,0.99,0.86,0.37,0.93,0.6,0.6,0.44,0.51,0.65,0.43
d_0,5.62,1.75,3.3,3.73,3.84,3.0,0.98,1.19,0.69,0.37,0.72,0.72,0.53,0.64,0.76,0.56
b_0,2.37,3.26,3.31,4.79,5.39,3.31,0.89,0.99,0.35,0.87,0.35,0.69,0.74,0.65,0.68,0.49
f_0,3.11,3.04,6.42,3.29,3.85,3.36,1.0,0.6,0.69,0.74,0.78,0.34,0.58,0.64,0.63,0.34
h_0,3.89,3.53,4.01,4.17,4.79,2.8,1.8,1.16,0.76,0.8,0.69,0.67,0.91,0.65,0.67,0.6
a_0,3.33,3.38,4.81,4.99,6.13,5.89,1.54,0.97,0.69,0.87,0.41,0.74,0.53,0.33,0.75,0.5
e_0,3.7,7.48,5.63,5.06,3.22,2.98,1.05,0.93,0.75,0.72,0.92,0.35,0.73,0.79,0.31,0.56
g_0,3.63,4.18,6.04,4.09,3.92,3.5,0.92,1.7,0.84,0.84,0.76,0.92,0.48,0.95,0.79,0.66
