,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.22,0.93,0.88,0.82,0.66,0.42,0.45,0.46,0.37,0.4,0.38,0.32,0.29,0.33,0.33
e_1,0.81,1.0,1.17,0.91,0.9,0.73,0.48,0.48,0.58,0.4,0.46,0.38,0.37,0.35,0.37,0.34
c_1,1.08,0.84,1.0,1.11,1.25,0.61,0.51,0.45,0.32,0.35,0.38,0.33,0.38,0.34,0.32,0.34
d_1,1.11,1.1,0.91,1.0,0.91,0.7,0.51,0.36,0.49,0.57,0.42,0.39,0.37,0.33,0.3,0.3
b_1,1.17,1.14,0.81,1.08,1.0,1.27,0.6,0.49,0.42,0.52,0.44,0.45,0.4,0.36,0.33,0.33
a_1,1.53,1.37,1.63,1.45,0.81,1.0,0.73,0.71,0.63,0.54,0.59,0.67,0.55,0.48,0.44,0.42
h_1,2.34,2.09,1.91,1.94,1.62,1.39,1.0,1.12,0.84,0.86,0.85,0.82,0.72,0.65,0.61,0.75
g_1,2.31,2.2,2.21,2.77,2.03,1.43,0.89,1.0,0.81,0.99,1.16,0.86,0.66,0.72,0.73,0.69
d_0,2.15,1.77,3.22,1.95,2.3,1.54,1.17,1.18,1.0,0.79,0.98,0.88,0.87,0.75,0.74,0.73
c_0,2.7,2.4,2.87,1.78,1.89,1.84,1.13,1.03,1.18,1.0,0.96,1.3,0.91,0.88,0.89,0.76
f_0,2.47,2.15,2.65,2.4,2.3,1.55,1.2,0.84,1.03,1.02,1.0,1.03,0.93,1.03,0.79,0.62
b_0,2.62,2.6,3.17,2.42,2.13,1.58,1.24,1.21,1.11,0.79,0.94,1.0,1.05,0.77,1.22,0.75
h_0,3.17,2.7,2.7,2.71,2.53,1.81,1.41,1.51,1.18,1.06,1.09,0.97,1.0,0.92,0.9,0.95
e_0,3.62,3.1,2.76,3.16,2.78,2.08,1.46,1.3,1.31,1.19,0.97,1.38,1.16,1.0,1.03,0.81
a_0,3.17,2.69,3.05,3.36,2.83,2.1,1.66,1.39,1.33,1.17,1.21,0.84,1.12,0.99,1.0,0.92
g_0,3.01,2.96,3.02,3.32,2.81,2.41,1.33,1.42,1.37,1.35,1.56,1.39,1.04,1.13,1.11,1.0
