,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.26,0.03,0.06,0.03,0.02,0.03,0.06,0.04,0.06,0.05,,0.06,0.07,0.06,0.06,
d_1,0.04,2.27,0.03,0.02,0.03,,0.05,0.06,,0.11,0.06,0.07,0.1,0.06,0.04,0.03
e_1,0.03,0.02,2.28,0.03,0.03,0.02,0.06,0.04,0.1,0.07,0.06,0.06,0.1,0.07,0.03,
c_1,0.03,0.03,0.03,2.35,0.05,,0.05,0.04,0.08,,0.06,0.05,0.08,0.07,0.05,0.06
b_1,0.03,0.03,0.03,0.03,2.48,0.04,0.05,0.04,0.06,0.06,0.06,,0.08,0.07,,0.05
a_1,0.02,,0.03,,0.03,3.07,0.06,0.04,0.06,0.08,0.06,0.06,0.08,,,
h_1,0.16,0.09,0.1,0.12,0.09,0.07,2.64,0.25,0.24,0.18,0.2,0.2,,0.42,0.17,0.23
g_1,0.09,0.14,0.11,0.1,0.08,0.08,0.15,2.94,0.25,0.29,0.36,0.22,0.28,,0.14,0.19
d_0,0.15,,0.16,0.25,0.13,0.13,0.34,0.28,2.11,0.27,0.16,0.27,0.34,0.32,0.24,0.21
c_0,0.07,0.14,0.11,,0.14,0.14,0.34,0.29,0.32,2.04,0.38,0.48,0.46,0.33,0.29,0.24
f_0,,0.14,0.12,0.14,0.17,0.12,0.29,0.21,0.23,0.36,2.19,0.34,0.33,0.41,0.24,0.49
b_0,0.17,0.2,0.11,0.14,,0.11,0.27,0.19,0.42,0.21,0.27,2.14,0.45,0.33,0.4,0.31
h_0,0.4,0.22,0.2,0.17,0.22,0.16,,0.58,0.37,0.39,0.52,0.3,,0.7,0.27,0.29
g_0,0.2,0.39,0.2,0.23,0.15,,0.43,,0.5,0.54,0.62,0.45,0.34,,0.29,0.33
a_0,0.12,0.13,0.16,0.17,,,0.34,0.28,0.25,0.23,0.35,0.23,0.44,0.36,2.79,
e_0,,0.2,,0.11,0.1,,0.32,0.26,0.31,0.31,0.22,0.35,0.46,0.44,,2.7
