,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.69,0.64,0.69,0.54,0.67,0.56,0.93,0.92,1.82,0.8,1.09,0.8,0.87,1.1,0.53,1.01
f_1,1.0,2.8,0.64,0.62,0.55,0.5,0.8,0.77,0.79,0.76,0.4,0.94,0.89,0.95,0.66,0.9
c_1,0.66,0.57,3.02,0.53,1.02,0.54,0.92,0.8,0.76,0.4,0.96,0.78,0.94,1.0,0.93,0.89
d_1,0.62,0.63,0.46,3.25,0.53,0.62,0.87,1.04,0.34,1.76,1.03,1.27,1.25,0.98,1.02,0.99
b_1,0.49,0.59,0.65,0.68,3.27,1.13,0.85,0.75,0.98,0.93,0.96,0.49,0.69,0.9,1.0,1.14
a_1,0.5,0.73,0.68,0.64,0.63,5.26,1.0,0.8,0.9,1.02,0.89,0.84,0.31,0.93,1.29,0.72
h_1,0.77,1.04,0.7,0.72,0.64,0.68,2.9,1.45,1.07,0.92,0.97,1.12,1.03,0.63,1.15,1.42
g_1,0.68,0.61,0.76,1.3,0.64,0.69,1.02,3.48,0.77,1.23,1.69,1.25,1.06,1.14,1.23,0.62
d_0,0.67,0.86,1.52,0.36,0.67,0.64,1.1,0.95,2.14,0.78,1.06,0.97,1.04,1.11,0.86,1.24
c_0,0.78,0.91,0.47,0.82,0.62,0.66,1.19,1.26,1.03,2.68,1.26,2.65,1.35,1.21,1.24,1.23
f_0,0.77,0.51,0.85,0.74,0.72,0.74,1.22,1.15,1.24,1.13,2.89,1.47,1.61,1.32,2.67,1.15
b_0,0.79,0.79,0.81,0.93,0.26,0.44,1.15,1.57,0.92,1.36,1.13,3.15,2.3,1.17,1.27,1.14
a_0,0.79,0.85,0.77,0.77,0.71,0.42,1.19,1.33,0.94,1.16,1.59,1.16,3.48,1.29,1.37,1.1
h_0,0.69,1.21,0.74,0.87,0.64,0.58,0.62,1.33,1.17,1.22,0.92,1.02,1.48,0.68,1.09,1.5
e_0,0.33,0.93,0.74,0.99,0.81,0.81,1.26,1.07,0.96,1.37,1.11,1.12,0.89,1.3,3.85,1.21
g_0,0.64,0.77,0.87,1.27,0.61,0.65,1.15,0.6,0.88,0.98,1.79,1.2,1.21,1.09,1.41,0.82
