,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.85,1.03,1.32,1.27,2.74,15.79,29.54,27.41,41.81,34.2,41.15,80.5,82.86,106.26,103.85
f_1,1.17,1.0,0.94,1.22,1.11,2.9,12.54,29.03,26.09,33.51,33.18,36.59,74.05,70.99,84.63,98.82
d_1,1.02,1.04,1.0,0.91,1.22,2.64,13.24,21.69,34.3,31.37,34.34,38.13,71.13,73.18,84.87,83.07
c_1,0.75,0.82,1.07,1.0,1.64,2.61,12.52,23.03,22.96,20.19,24.77,38.09,50.71,76.94,94.02,95.2
b_1,0.77,0.89,0.8,0.64,1.0,3.34,11.6,20.62,24.34,22.06,31.55,32.05,53.06,61.73,76.71,77.15
a_1,0.35,0.34,0.38,0.38,0.3,1.0,4.86,9.48,9.17,10.96,13.1,13.07,26.23,31.33,28.95,36.74
h_1,0.06,0.08,0.07,0.08,0.09,0.2,1.0,1.97,1.91,2.1,2.39,2.74,4.99,5.78,6.18,8.38
g_1,0.03,0.04,0.05,0.04,0.05,0.11,0.51,1.0,1.04,1.08,1.32,1.87,2.65,2.66,4.09,4.1
c_0,0.04,0.04,0.03,0.04,0.04,0.11,0.51,1.01,1.0,1.27,1.51,1.5,3.08,3.01,3.6,3.47
d_0,0.02,0.03,0.03,0.05,0.05,0.09,0.48,0.94,0.75,1.0,1.01,1.34,1.98,2.41,3.16,3.49
b_0,0.03,0.03,0.03,0.04,0.03,0.08,0.38,0.76,0.69,0.97,1.0,1.22,3.02,2.74,2.97,3.06
f_0,0.02,0.03,0.03,0.03,0.03,0.07,0.35,0.54,0.68,0.74,0.79,1.0,1.61,2.18,3.26,2.05
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.39,0.33,0.47,0.34,0.61,1.0,1.2,1.35,1.63
h_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.38,0.33,0.4,0.39,0.45,0.83,1.0,1.12,1.33
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.25,0.3,0.31,0.37,0.32,0.74,0.88,1.0,0.97
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.24,0.29,0.29,0.33,0.47,0.62,0.73,1.07,1.01
