,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.4,0.81,0.59,1.16,0.9,0.9,0.54,0.51,0.41,0.46,0.5,0.45,0.38,0.4,0.7,0.38
d_1,1.07,0.4,0.8,0.9,0.99,0.82,0.45,0.3,0.43,0.76,0.37,0.32,0.34,0.36,0.35,0.24
f_1,0.92,0.91,0.4,0.83,0.87,0.8,0.38,0.54,0.36,0.4,0.5,0.36,0.25,0.37,0.31,0.4
c_1,0.68,1.02,0.99,0.38,1.05,0.72,0.42,0.67,0.56,0.24,0.42,0.35,0.33,0.38,0.39,0.31
b_1,0.95,0.89,1.0,0.54,0.37,1.04,0.51,0.5,0.44,0.38,0.4,0.63,0.39,0.43,0.51,0.36
a_1,0.92,0.92,1.15,1.05,0.49,0.32,0.55,0.52,0.43,0.54,0.45,0.69,0.33,0.84,0.37,0.36
h_1,0.71,0.75,0.84,0.84,0.84,0.84,0.26,0.43,0.33,0.33,0.34,0.37,0.51,0.31,0.32,0.34
g_1,0.81,0.89,0.69,0.81,0.79,0.77,0.38,0.23,0.36,0.4,0.35,0.36,0.22,0.35,0.35,0.42
c_0,0.78,0.48,0.85,1.13,1.04,0.88,0.43,0.37,0.25,0.55,0.33,0.43,0.31,0.42,0.39,0.34
d_0,0.48,1.29,0.8,0.94,0.8,0.67,0.48,0.49,0.35,0.25,0.36,0.41,0.3,0.4,0.38,0.36
f_0,0.69,0.69,1.37,0.73,0.83,0.75,0.44,0.32,0.34,0.4,0.23,0.34,0.32,0.34,0.46,0.23
b_0,0.71,0.75,0.85,1.1,1.26,0.62,0.39,0.39,0.21,0.32,0.3,0.23,0.35,0.42,0.33,0.26
h_0,0.72,0.77,0.98,0.76,0.63,0.76,0.45,0.52,0.38,0.34,0.32,0.3,0.36,0.35,0.31,0.32
a_0,0.9,0.66,0.76,0.84,0.93,1.05,0.43,0.45,0.3,0.36,0.35,0.2,0.29,0.2,0.37,0.32
e_0,1.0,0.72,1.14,0.74,0.74,0.67,0.4,0.39,0.35,0.36,0.18,0.35,0.33,0.36,0.21,0.29
g_0,0.8,0.8,0.75,0.69,0.75,0.84,0.33,0.53,0.33,0.37,0.36,0.38,0.23,0.32,0.37,0.41
