,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.93,0.11,0.08,0.08,0.08,0.07,0.09,0.12,0.05,,0.06,0.05,0.06,0.05,0.04,0.04
f_1,0.1,0.93,0.16,0.08,0.09,0.07,0.07,0.07,0.06,0.08,0.07,,0.06,0.04,0.04,0.04
e_1,0.13,0.1,0.93,0.09,0.09,0.08,0.06,0.07,0.05,0.1,0.06,0.07,0.06,0.04,0.05,
c_1,0.13,0.12,0.11,0.93,0.16,0.07,0.05,,0.06,0.06,0.05,0.04,0.08,0.05,0.06,0.06
b_1,0.13,0.1,0.11,0.08,0.93,,0.08,0.08,0.06,0.07,,0.08,0.08,0.04,0.06,0.03
a_1,0.11,0.15,0.1,0.11,,0.93,0.08,0.09,0.07,0.07,0.1,0.07,0.07,,0.07,
h_1,0.27,0.33,0.3,0.35,0.19,0.16,0.71,0.2,0.22,0.19,0.15,0.15,,0.13,0.19,0.09
c_0,0.28,0.32,0.33,,0.27,0.2,0.25,0.58,0.19,0.26,0.33,0.19,0.22,0.19,0.2,0.14
g_1,0.44,0.24,0.3,0.31,0.24,0.19,0.19,0.2,0.71,0.11,0.18,0.24,0.19,0.14,,0.11
d_0,,0.34,0.37,0.5,0.35,0.22,0.24,0.22,0.25,0.59,0.26,0.17,0.21,0.11,0.13,0.11
b_0,0.32,0.39,0.38,0.38,,0.2,0.26,0.2,0.23,0.15,0.57,0.23,0.23,0.31,0.2,0.15
f_0,0.44,,0.28,0.38,0.25,0.2,0.24,0.29,0.23,0.3,0.18,0.57,0.18,0.14,0.21,0.31
h_0,0.56,0.62,0.52,0.33,0.32,0.27,,0.25,0.27,0.32,0.28,0.28,,0.23,0.36,0.2
a_0,0.43,0.39,0.34,0.28,0.39,,0.33,0.24,0.2,0.25,0.13,0.23,0.3,0.57,0.29,0.2
g_0,0.82,0.6,0.41,0.46,0.36,0.27,0.27,0.33,,0.35,0.28,0.34,0.26,0.17,,0.24
e_0,0.43,0.48,,0.26,0.45,,0.39,0.26,0.32,0.3,0.26,0.18,0.24,0.19,0.17,0.55
