,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.96,0.61,0.53,0.72,0.53,0.4,0.42,0.59,0.38,0.34,0.37,0.36,0.34,0.27,0.24,0.32
f_1,0.88,0.96,0.54,0.62,0.5,0.41,0.35,0.42,0.36,0.34,0.35,0.28,0.33,0.24,0.19,0.3
d_1,0.65,0.72,0.96,0.51,0.56,0.43,0.42,0.34,0.37,0.56,0.41,0.36,0.39,0.3,0.3,0.3
c_1,0.59,0.64,0.65,0.96,0.8,0.4,0.44,0.36,0.36,0.31,0.3,0.34,0.39,0.27,0.29,0.3
b_1,0.69,0.67,0.66,0.61,0.95,0.7,0.44,0.42,0.34,0.39,0.34,0.35,0.36,0.24,0.28,0.34
a_1,0.72,0.8,0.8,0.68,0.55,0.95,0.54,0.52,0.44,0.45,0.5,0.44,0.45,0.29,0.32,0.37
h_1,0.97,1.25,0.92,0.86,0.74,0.57,0.81,0.57,0.56,0.46,0.53,0.46,0.51,0.42,0.38,0.52
d_0,0.95,1.04,0.82,1.38,0.87,0.57,0.69,0.75,0.55,0.43,0.55,0.53,0.59,0.36,0.4,0.49
g_1,0.92,0.97,1.23,0.92,0.9,0.59,0.66,0.57,0.79,0.58,0.54,0.69,0.51,0.45,0.46,0.48
c_0,1.08,1.18,0.97,0.88,0.7,0.62,0.76,0.69,0.55,0.75,0.9,0.59,0.59,0.51,0.49,0.5
b_0,1.1,1.15,1.02,1.11,0.75,0.58,0.73,0.7,0.62,0.51,0.73,0.55,0.62,0.76,0.45,0.51
f_0,0.97,1.06,1.13,1.01,0.93,0.64,0.82,0.71,0.55,0.58,0.67,0.73,0.64,0.5,0.75,0.53
h_0,1.01,1.35,1.13,1.02,0.92,0.67,0.66,0.63,0.75,0.68,0.66,0.63,0.56,0.45,0.46,0.62
a_0,1.07,1.29,1.15,1.13,0.95,0.72,0.85,0.78,0.72,0.67,0.58,0.66,0.74,0.69,0.54,0.6
e_0,1.03,1.47,1.13,1.13,1.02,0.72,0.86,0.74,0.61,0.63,0.69,0.54,0.8,0.52,0.67,0.6
g_0,1.07,1.08,1.41,1.13,1.02,0.75,0.81,0.63,0.58,0.65,0.72,0.84,0.67,0.48,0.54,0.56
