,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.34,0.66,0.43,0.78,0.51,0.43,0.92,0.69,2.04,0.92,1.05,0.8,0.96,1.24,0.45,0.85
f_1,1.18,14.33,0.6,0.5,0.47,0.58,0.83,0.86,0.74,0.71,0.87,0.3,0.85,0.78,0.58,0.82
d_1,0.51,0.6,17.9,0.44,0.52,0.72,0.82,1.09,0.36,2.27,1.14,0.97,0.99,0.77,1.21,1.04
c_1,0.45,0.53,0.51,18.38,1.43,0.51,0.77,0.82,0.88,0.3,0.55,0.98,0.93,0.88,1.05,0.83
b_1,0.53,0.53,0.63,0.54,19.7,1.23,0.77,0.78,0.78,0.82,0.47,1.0,0.96,0.64,0.76,0.81
a_1,0.55,0.61,0.67,0.49,0.43,32.72,1.14,0.87,0.88,1.01,1.1,1.3,1.12,0.48,1.17,0.95
h_1,0.65,1.22,0.86,0.64,0.63,0.65,5.3,1.48,0.94,1.05,1.14,1.11,0.58,0.89,0.95,1.72
g_1,0.5,0.55,1.58,0.72,0.68,0.63,1.07,5.87,1.01,1.31,1.63,2.21,1.11,1.16,1.28,1.04
d_0,0.63,0.81,0.29,2.19,0.72,0.54,1.51,1.13,3.06,0.56,0.95,1.44,1.17,1.33,1.19,1.36
c_0,0.74,0.91,0.74,0.55,0.41,0.62,1.36,1.33,1.33,2.87,2.94,1.42,1.36,1.86,1.35,1.62
b_0,0.79,0.82,0.74,0.8,0.34,0.62,1.38,1.23,1.28,1.08,3.36,1.16,1.34,3.62,1.26,1.38
f_0,0.48,0.48,0.85,0.91,0.84,0.64,0.96,1.17,1.3,1.16,1.39,4.3,1.68,1.27,4.49,1.38
h_0,0.6,1.02,0.84,0.81,0.71,0.69,0.84,1.29,1.1,1.16,1.07,1.34,0.74,1.31,1.29,2.26
a_0,0.58,0.93,0.75,0.89,0.76,0.33,1.38,1.02,1.05,1.03,1.44,1.07,1.47,4.59,1.19,1.14
e_0,0.39,0.65,1.03,0.87,0.87,0.68,1.12,1.33,1.49,1.38,1.37,1.5,1.47,1.02,5.05,1.58
g_0,0.51,0.49,1.74,0.75,0.71,0.7,1.35,0.86,0.81,1.13,0.82,2.53,1.16,1.16,1.51,1.01
