,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,20.5,29.8,35.44,51.21,38.95,9.81,6.55,6.97,9.13,6.02,7.45,4.39,6.72,,5.9
f_1,35.6,0.43,46.53,43.13,24.52,34.86,8.35,5.35,7.22,14.74,6.25,,3.02,6.59,6.88,4.76
c_1,35.46,30.76,0.43,31.15,37.51,42.04,9.3,3.94,,11.88,6.23,6.17,4.17,6.27,11.43,5.1
d_1,37.4,29.96,35.68,0.43,41.91,31.88,10.87,,9.31,5.93,6.04,5.98,4.16,5.73,7.2,3.39
b_1,40.06,52.52,18.2,28.53,0.4,60.97,9.34,9.38,8.24,12.7,,8.48,4.91,8.42,,5.06
a_1,65.51,62.98,43.47,43.28,25.42,0.34,12.63,8.89,7.45,14.24,11.28,7.39,5.0,,,6.23
h_1,17.35,19.81,20.29,24.08,16.49,12.95,0.38,3.67,3.72,5.02,3.94,3.2,,,1.91,2.47
d_0,7.61,16.78,15.72,,14.84,14.45,4.33,0.5,2.85,3.64,3.55,2.88,2.83,3.46,3.26,2.31
c_0,12.26,15.29,,8.6,10.47,19.9,4.17,3.96,0.5,4.0,2.88,3.51,2.32,4.12,2.93,2.83
g_1,23.44,17.6,23.29,19.19,20.39,20.98,4.41,4.97,4.32,0.33,4.98,3.5,2.48,4.1,3.83,
b_0,16.87,14.83,25.75,13.14,,15.65,4.33,3.9,2.2,4.46,0.45,3.64,2.38,5.16,3.76,2.37
f_0,27.85,,17.41,16.21,15.13,12.89,4.25,3.13,4.42,3.05,5.03,0.47,3.79,,2.51,1.07
h_0,17.48,12.14,11.12,12.33,13.99,19.76,,2.46,2.3,3.09,2.29,2.35,,1.77,3.39,2.19
a_0,22.92,18.2,15.38,29.54,24.9,,,6.53,3.1,6.9,2.27,,3.12,0.37,3.79,2.45
e_0,,29.82,20.71,25.78,,,4.02,4.46,3.33,5.9,5.39,2.32,2.37,3.8,0.38,3.66
g_0,17.09,17.11,13.58,16.9,21.37,15.3,2.39,2.14,2.34,,3.63,2.88,1.44,3.21,3.72,
