,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.17,1.6,0.93,2.31,1.67,1.81,0.53,0.52,0.38,0.3,0.42,0.4,0.29,0.33,1.63,0.3
d_1,2.26,0.16,1.54,1.93,2.26,1.67,0.44,0.26,0.31,2.46,0.28,0.24,0.26,0.29,0.28,0.14
f_1,1.46,1.76,0.16,1.61,1.77,1.82,0.35,0.55,0.32,0.37,1.28,0.31,0.16,0.29,0.29,0.3
c_1,1.42,2.09,2.02,0.15,1.75,1.27,0.38,0.87,1.29,0.16,0.36,0.35,0.24,0.35,0.34,0.2
b_1,1.89,1.87,1.91,0.84,0.14,1.59,0.52,0.46,0.42,0.33,0.34,1.77,0.25,0.46,0.48,0.27
a_1,1.71,1.68,2.19,1.82,0.77,0.1,0.6,0.55,0.39,0.49,0.46,0.63,0.29,2.29,0.26,0.27
h_1,0.89,0.93,0.85,0.99,0.89,1.22,0.07,0.26,0.18,0.18,0.2,0.19,0.37,0.17,0.16,0.14
g_1,0.94,1.01,0.94,1.07,0.97,0.8,0.22,0.06,0.17,0.27,0.17,0.19,0.08,0.2,0.18,0.4
c_0,0.91,0.42,0.97,4.18,1.45,1.0,0.28,0.25,0.07,0.35,0.16,0.17,0.13,0.22,0.22,0.16
d_0,0.47,3.79,0.94,0.81,0.95,0.97,0.31,0.31,0.23,0.07,0.21,0.23,0.13,0.2,0.2,0.19
f_0,0.74,0.75,4.11,0.86,0.94,1.14,0.28,0.16,0.18,0.2,0.06,0.17,0.15,0.2,0.19,0.1
b_0,0.93,0.75,0.92,1.76,2.77,0.67,0.22,0.21,0.09,0.19,0.15,0.06,0.16,0.19,0.16,0.1
h_0,0.94,0.88,1.05,0.85,0.76,0.97,0.83,0.35,0.24,0.21,0.18,0.14,0.3,0.15,0.15,0.13
a_0,1.14,0.82,0.75,0.89,1.03,,0.26,0.35,0.15,0.23,0.18,0.09,0.13,0.04,0.25,0.13
e_0,3.0,0.72,1.3,0.84,0.88,0.76,0.27,0.26,0.17,0.21,0.08,0.22,0.16,0.22,0.04,0.12
g_0,1.36,0.83,0.95,0.76,1.02,0.84,0.19,0.58,0.18,0.26,0.15,0.21,0.09,0.14,0.21,0.31
