,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.37,1.1,1.29,0.82,0.98,0.74,1.82,3.59,1.94,1.63,2.29,2.06,2.14,2.7,1.43,2.45
f_1,1.7,2.41,1.08,0.83,0.88,0.71,1.82,2.47,2.04,1.5,2.23,1.36,1.88,2.54,1.18,2.28
c_1,0.96,0.97,2.47,0.99,1.68,0.95,1.88,2.12,1.47,1.66,1.52,1.86,1.52,2.38,1.88,2.16
d_1,0.99,1.26,0.87,2.52,0.99,0.76,2.15,1.61,3.7,1.97,2.41,2.1,2.11,2.69,1.61,2.5
b_1,1.04,1.01,1.06,1.1,2.61,1.42,2.12,2.17,1.99,1.55,1.61,1.99,1.46,2.59,1.59,2.43
a_1,0.99,1.14,1.1,1.12,1.01,3.16,2.08,1.93,2.45,1.89,2.17,2.03,1.3,3.2,1.95,2.68
h_1,1.14,1.38,1.04,1.39,0.95,0.83,3.47,1.91,2.26,2.36,2.26,2.01,1.94,2.3,1.93,3.25
d_0,1.1,1.13,1.87,0.86,1.18,0.78,2.04,3.27,1.78,1.91,2.27,2.06,2.03,2.93,1.92,2.27
c_0,1.11,1.1,0.98,1.35,0.94,0.89,2.14,2.25,3.5,2.21,3.86,2.43,2.65,3.0,2.17,3.07
g_1,1.08,1.18,1.06,1.63,0.98,0.8,2.11,1.93,2.56,3.8,2.35,3.09,1.9,2.97,2.13,2.11
b_0,1.17,1.22,1.16,1.28,0.87,0.86,2.26,2.29,2.4,2.26,3.36,2.19,3.67,2.88,2.18,2.77
f_0,1.0,1.0,1.19,1.18,1.08,0.87,2.4,2.54,2.78,1.98,2.68,3.73,2.44,2.91,4.14,2.4
a_0,1.17,1.33,1.36,1.13,0.99,0.54,2.21,2.53,2.37,2.15,2.41,2.29,3.64,2.9,1.99,2.76
h_0,1.08,1.54,1.2,1.16,0.92,0.92,1.61,2.23,2.01,2.46,2.4,2.2,1.77,2.26,1.78,3.24
e_0,0.78,1.14,1.51,1.25,1.28,0.98,2.09,2.37,1.86,1.99,2.34,2.13,1.76,3.27,3.95,2.73
g_0,1.04,0.99,1.06,1.61,1.04,0.91,2.09,2.2,2.54,1.64,2.56,2.88,1.96,2.73,2.02,2.23
