,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.1,3.08,1.77,3.91,3.48,2.85,0.94,1.0,0.66,0.74,0.89,0.68,0.54,0.71,0.98,0.56
d_1,3.68,1.09,3.13,3.42,3.44,2.71,0.81,0.54,0.58,1.2,0.62,0.51,0.45,0.61,0.59,0.28
f_1,3.01,3.12,1.11,3.06,3.31,2.94,0.67,1.02,0.61,0.65,0.87,0.59,0.34,0.56,0.61,0.57
c_1,2.67,4.6,3.65,1.11,3.34,2.99,0.94,1.32,1.26,0.4,0.74,0.75,0.47,0.67,0.71,0.41
b_1,3.83,4.06,4.44,1.98,1.11,3.57,1.16,1.23,1.03,0.77,0.73,1.2,0.56,0.81,0.81,0.53
a_1,5.45,5.43,6.45,5.26,2.56,1.13,1.64,1.51,1.36,1.47,1.21,1.95,0.74,2.07,1.02,0.79
h_1,10.45,10.18,10.83,11.26,10.47,11.94,1.64,2.79,2.15,2.37,2.21,2.23,2.28,1.91,1.88,1.67
g_1,14.79,12.68,13.81,15.8,13.28,12.14,3.02,1.62,2.57,3.29,2.35,2.92,1.45,2.63,2.5,2.59
c_0,16.08,8.11,15.09,25.39,21.62,15.92,4.07,3.5,1.93,5.35,2.83,3.08,2.49,3.16,2.86,2.23
d_0,8.93,28.38,15.09,16.74,15.43,14.39,4.66,5.19,3.45,1.92,3.52,3.77,2.39,3.02,3.41,2.84
f_0,16.7,15.46,26.23,16.65,19.62,16.16,4.66,3.12,3.36,4.04,1.98,3.19,2.72,3.24,3.27,1.64
b_0,17.28,14.99,18.94,31.28,31.18,16.81,4.71,4.3,1.98,4.04,3.39,2.07,2.68,3.41,3.32,2.26
h_0,22.52,22.48,26.85,21.51,21.31,21.66,8.3,7.43,5.49,5.49,4.39,4.07,4.43,4.0,3.84,3.35
a_0,30.09,19.23,22.58,28.15,31.51,29.18,7.59,7.2,4.18,5.21,5.04,2.32,3.78,2.23,4.78,3.9
e_0,34.22,21.64,35.15,24.39,21.62,19.82,6.62,6.36,5.14,5.26,2.44,5.22,3.58,5.03,2.17,3.23
g_0,29.58,24.04,30.18,24.2,25.76,28.78,5.79,8.72,5.49,6.01,5.28,5.28,2.91,4.17,4.67,5.3
