,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.2,1.05,1.41,1.43,3.07,14.84,25.14,25.72,26.55,37.65,,43.67,87.88,89.31,129.97
e_1,0.83,1.0,0.89,1.46,1.36,2.7,15.82,29.17,21.94,35.79,34.49,49.2,58.85,62.01,,94.0
d_1,0.95,1.13,1.0,1.17,1.1,2.2,16.31,33.61,16.29,,39.82,45.39,56.4,64.5,86.09,86.1
c_1,0.71,0.69,0.85,1.0,1.99,1.92,12.06,,18.07,13.36,26.73,35.27,43.1,52.3,47.3,92.06
b_1,0.7,0.74,0.91,0.5,1.0,3.0,13.49,17.89,18.56,20.88,,28.15,58.04,57.23,60.24,59.7
a_1,0.33,0.37,0.45,0.52,0.33,1.0,5.65,10.36,8.89,10.31,12.89,21.29,27.94,,,34.71
h_1,0.07,0.06,0.06,0.08,0.07,0.18,1.0,1.55,2.32,1.38,2.28,2.84,,4.61,6.24,6.14
c_0,0.04,0.03,0.03,,0.06,0.1,0.65,1.0,0.92,1.25,1.91,1.76,2.46,2.8,3.62,2.95
g_1,0.04,0.05,0.06,0.06,0.05,0.11,0.43,1.09,1.0,0.79,1.17,2.04,1.31,2.6,,
d_0,0.04,0.03,,0.07,0.05,0.1,0.73,0.8,1.26,1.0,1.47,1.51,1.84,2.3,2.56,2.78
b_0,0.03,0.03,0.03,0.04,,0.08,0.44,0.52,0.86,0.68,1.0,1.2,2.4,3.42,2.15,2.14
f_0,,0.02,0.02,0.03,0.04,0.05,0.35,0.57,0.49,0.66,0.83,1.0,1.37,2.1,2.96,1.32
h_0,0.02,0.02,0.02,0.02,0.02,0.04,,0.41,0.76,0.54,0.42,0.73,,0.93,,1.71
a_0,0.01,0.02,0.02,0.02,0.02,,0.22,0.36,0.38,0.43,0.29,0.48,1.08,1.0,,1.53
e_0,0.01,,0.01,0.02,0.02,,0.16,0.28,,0.39,0.47,0.34,,,1.0,
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.34,,0.36,0.47,0.76,0.59,0.65,,
