,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.53,1.31,0.85,0.83,0.76,0.67,0.96,0.93,1.15,0.95,0.82,0.98,1.05,0.71,0.91,1.0
e_1,0.88,1.53,1.12,0.79,0.83,0.77,0.99,0.95,1.65,0.97,1.11,0.96,1.11,0.8,0.97,1.07
c_1,0.96,0.79,1.55,0.94,1.38,0.6,1.05,0.95,0.88,0.7,0.95,0.76,1.15,0.92,0.86,1.08
d_1,1.01,0.92,0.76,1.57,0.81,0.67,1.1,0.85,0.99,1.7,1.08,1.08,1.17,0.96,0.84,1.15
b_1,0.98,0.94,0.81,0.88,1.61,1.33,1.18,0.9,0.92,1.01,1.01,0.79,1.12,0.89,0.82,1.02
a_1,1.1,1.03,1.19,1.02,0.67,1.78,1.19,1.22,1.27,0.96,1.18,1.25,1.27,1.05,0.76,1.01
h_1,1.41,1.15,1.06,1.13,0.95,0.85,1.81,1.53,1.24,1.26,1.25,1.28,1.22,1.05,1.03,1.54
g_1,1.13,1.08,1.15,1.65,1.03,0.86,1.1,1.88,1.09,1.43,1.84,1.35,1.24,1.21,1.17,1.12
d_0,1.12,1.03,1.88,0.85,1.19,0.92,1.36,1.38,1.67,1.01,1.4,1.29,1.51,1.09,1.15,1.28
c_0,1.43,1.21,1.21,1.08,0.85,0.96,1.28,1.27,1.5,1.79,1.28,2.2,1.61,1.37,1.41,1.5
f_0,1.06,1.05,1.37,1.26,1.2,0.92,1.37,1.11,1.41,1.35,1.8,1.5,1.59,1.95,1.16,1.27
b_0,1.29,1.23,1.44,1.31,0.8,0.79,1.37,1.41,1.48,1.22,1.24,1.8,1.82,1.11,2.13,1.27
h_0,1.53,1.18,1.23,1.29,1.18,0.85,1.31,1.68,1.45,1.33,1.35,1.29,1.43,1.26,1.33,1.68
e_0,1.44,1.16,1.19,1.48,1.25,1.01,1.44,1.41,1.41,1.45,1.39,1.71,1.81,1.87,1.35,1.36
a_0,1.37,1.09,1.29,1.5,1.18,0.84,1.62,1.46,1.59,1.43,1.4,1.22,1.79,1.3,1.84,1.47
g_0,1.17,1.15,1.21,1.6,1.21,1.03,1.31,1.2,1.46,1.55,1.89,1.59,1.57,1.5,1.42,1.18
