,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,6.25,2.29,2.81,3.81,2.91,2.98,10.91,9.01,21.99,12.38,14.21,13.74,19.3,14.18,12.46,19.36
d_1,2.65,6.49,3.18,2.44,2.66,3.04,11.26,10.48,9.47,21.71,15.66,14.91,19.1,17.3,15.65,22.02
f_1,4.42,2.44,6.43,2.76,2.54,2.7,8.79,9.45,13.17,12.8,13.17,10.89,21.97,14.7,12.32,22.27
c_1,2.71,2.91,2.93,6.93,4.94,2.44,10.0,9.44,11.39,8.89,8.49,10.08,19.89,13.83,13.16,20.03
b_1,2.64,2.8,2.93,2.74,7.35,5.53,11.62,10.55,13.1,12.39,8.02,12.7,20.26,10.59,12.68,19.72
a_1,2.58,3.18,3.0,3.03,2.88,10.58,9.82,11.91,13.07,14.26,14.99,15.06,21.04,12.66,15.48,20.43
h_1,2.72,3.2,4.03,3.1,2.72,3.24,19.25,14.46,13.2,13.46,14.53,14.02,19.01,14.62,15.96,26.74
g_1,2.63,4.45,2.87,3.02,2.86,2.87,9.87,20.37,10.91,15.38,14.23,20.54,22.27,16.03,17.97,17.26
d_0,2.78,2.46,3.11,5.41,3.23,2.62,10.63,11.89,19.45,9.89,13.76,14.26,22.98,14.95,15.85,20.47
c_0,2.88,3.26,3.19,2.52,2.53,3.28,12.08,12.1,13.79,20.22,25.95,18.03,23.21,20.7,19.36,22.2
b_0,2.54,3.27,3.3,3.29,2.68,3.21,11.47,12.32,14.04,13.78,22.08,18.77,23.25,29.86,18.43,24.54
f_0,2.45,3.43,2.91,3.53,2.93,2.99,13.36,13.14,15.63,13.56,13.97,23.99,24.44,17.26,35.22,22.12
h_0,2.82,3.44,4.29,3.14,3.19,2.54,8.61,12.81,13.36,13.35,14.22,13.04,17.91,17.48,16.73,28.78
a_0,3.02,2.87,3.35,3.39,3.35,2.02,12.46,12.95,13.75,13.65,16.52,17.04,24.74,29.0,16.98,23.9
e_0,2.55,3.69,3.49,3.41,3.08,2.32,12.61,11.2,14.31,14.29,15.1,14.44,26.39,18.23,32.29,25.11
g_0,2.56,4.08,3.21,3.18,3.04,3.02,11.95,9.48,12.74,14.76,14.72,20.86,25.92,18.17,21.37,21.42
