,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.45,29.04,34.82,37.79,44.31,29.91,6.5,9.41,8.72,5.82,6.58,,7.13,2.57,5.28,6.02
e_1,19.66,0.45,41.28,28.3,35.39,32.25,9.94,8.77,7.01,5.95,6.77,6.98,8.19,5.58,4.22,
d_1,28.94,36.65,0.44,33.7,34.48,27.09,10.0,4.35,,7.61,7.54,8.75,7.6,6.06,2.94,7.68
c_1,31.44,52.66,33.77,0.42,33.48,47.66,8.13,8.58,3.73,,7.07,5.94,12.91,4.25,5.21,6.28
b_1,36.95,40.52,41.21,19.08,0.39,46.95,12.63,10.45,8.82,8.4,,5.88,10.21,4.56,5.53,6.89
a_1,48.3,46.06,45.7,43.08,20.72,0.34,15.14,16.69,8.35,11.89,8.25,7.55,,9.47,5.35,
h_1,20.86,19.57,18.05,22.9,16.38,12.85,0.37,4.49,3.02,3.52,3.24,3.47,3.56,,2.33,4.02
g_1,19.59,25.22,23.94,18.05,24.3,15.94,4.46,0.34,4.22,3.51,4.71,4.1,3.75,1.9,,
d_0,16.51,7.8,,19.64,16.74,18.07,3.08,7.47,0.51,3.04,2.71,2.87,2.91,3.0,1.74,2.69
c_0,16.44,15.13,8.48,,22.5,15.53,4.09,3.98,2.67,0.48,4.18,3.07,3.47,2.74,2.24,
b_0,14.5,16.65,15.33,18.2,,19.89,4.65,6.11,3.83,1.67,0.46,4.13,3.4,2.55,3.12,2.77
f_0,,15.52,16.76,20.83,13.95,21.19,4.5,3.87,2.9,4.38,4.69,0.45,3.35,1.98,1.61,
a_0,28.17,18.36,25.17,16.43,19.17,,7.79,8.21,3.76,3.73,2.19,5.39,0.37,2.22,3.62,
h_0,13.22,15.82,9.58,11.17,10.34,13.74,,3.45,2.46,2.66,2.38,2.47,1.99,,2.27,2.87
g_0,14.52,19.08,18.97,13.41,13.92,18.7,2.67,,3.17,3.59,2.61,2.99,2.74,1.36,,3.17
e_0,32.34,,16.57,28.84,26.64,,7.37,,4.47,,4.08,,,2.56,2.93,0.33
