,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,0.89,1.19,1.09,1.0,1.1,1.1,1.39,0.99,0.98,1.1,1.08,0.97,1.03,1.0
f_1,1.24,1.0,0.9,1.07,1.04,0.83,0.84,0.96,1.02,0.89,0.96,0.9,0.88,0.86,0.69,1.09
d_1,1.11,1.15,1.0,0.87,0.85,0.94,1.02,0.83,1.03,1.32,1.07,0.93,1.04,1.08,1.09,0.8
c_1,0.84,0.93,1.15,1.0,1.25,0.95,1.04,0.95,0.74,0.79,0.86,1.07,0.96,1.02,1.17,0.98
b_1,0.91,0.97,1.18,0.81,1.0,1.4,1.02,1.22,0.88,1.04,1.02,1.08,0.96,0.95,0.97,1.07
a_1,0.99,1.17,1.06,1.05,0.73,1.0,1.06,1.0,1.09,1.13,1.12,1.06,1.25,0.99,1.02,1.15
h_1,0.92,1.19,0.98,0.97,0.95,0.95,1.0,1.23,0.83,0.89,0.97,0.98,0.97,1.02,0.96,1.12
g_1,0.88,1.08,1.22,1.0,0.81,0.98,0.82,1.0,0.88,0.96,0.98,1.18,0.85,0.93,1.15,0.93
d_0,0.75,0.98,0.99,1.36,1.12,0.91,1.21,1.13,1.0,0.81,1.04,0.99,0.95,1.16,1.01,1.05
c_0,1.02,1.16,0.75,1.23,0.93,0.92,1.11,1.02,1.16,1.0,1.37,0.98,1.06,1.13,1.1,1.03
b_0,1.01,1.08,0.9,1.08,0.92,0.95,1.02,1.03,1.01,0.71,1.0,0.83,1.03,1.51,0.88,1.07
f_0,0.9,1.06,1.06,0.91,0.99,0.9,1.02,0.81,0.97,1.06,1.21,1.0,1.07,1.1,1.46,0.91
h_0,0.97,1.12,0.99,1.01,1.04,0.79,0.99,1.13,1.01,0.92,0.92,0.89,1.0,0.8,0.88,1.17
a_0,1.03,1.16,0.96,0.96,0.98,1.05,0.97,1.06,0.9,0.93,0.7,0.88,1.21,1.0,1.01,1.0
e_0,0.95,1.5,0.94,0.84,1.03,1.01,1.02,0.94,0.92,0.91,1.11,0.69,1.12,0.89,1.0,0.94
g_0,0.97,0.93,1.22,1.04,0.95,0.87,0.92,1.04,0.96,0.97,0.99,1.08,0.83,1.0,1.08,1.0
