,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.07,1.03,0.87,0.86,0.74,0.48,0.39,0.35,0.57,0.41,0.39,0.32,0.35,0.31,0.28
e_1,0.93,1.0,0.76,1.1,0.92,0.79,0.56,0.63,0.5,0.43,0.45,0.44,0.41,0.37,0.44,0.36
f_1,0.97,1.32,1.0,0.96,0.81,0.86,0.38,0.43,0.48,0.38,0.33,0.35,0.26,0.31,0.25,0.28
c_1,1.16,0.91,1.05,1.0,1.19,0.7,0.45,0.33,0.44,0.39,0.38,0.33,0.42,0.32,0.3,0.41
b_1,1.17,1.09,1.23,0.84,1.0,1.13,0.61,0.43,0.46,0.53,0.41,0.52,0.39,0.34,0.42,0.42
a_1,1.33,1.25,1.16,1.43,0.88,1.0,0.82,0.64,0.67,0.62,0.62,0.64,0.59,0.5,0.56,0.46
h_1,2.14,1.8,2.7,2.15,1.65,1.23,1.0,0.88,1.3,0.79,0.79,0.83,0.79,0.68,0.63,0.78
d_0,2.48,1.61,2.28,3.09,2.32,1.69,1.12,1.0,0.9,0.76,0.82,0.88,0.81,0.59,0.68,0.8
g_1,2.98,2.12,2.14,2.21,2.14,1.53,0.78,1.11,1.0,0.97,1.08,0.96,0.82,0.92,0.83,0.64
c_0,1.74,2.44,2.57,2.65,1.85,1.46,1.33,1.31,1.03,1.0,1.04,1.61,0.93,0.88,0.88,0.93
f_0,2.38,2.24,2.78,2.59,2.34,1.66,1.3,1.12,0.96,0.96,1.0,1.03,0.94,0.76,1.13,0.61
b_0,2.4,2.28,2.94,3.15,1.78,1.47,1.2,1.24,1.04,0.68,1.0,1.0,0.94,1.3,0.85,0.73
h_0,3.04,2.44,3.74,2.48,2.46,1.81,1.27,1.2,1.22,1.04,1.05,1.03,1.0,0.82,0.85,0.95
a_0,2.94,2.79,3.21,2.9,2.71,2.13,1.56,1.51,1.01,1.25,1.3,0.79,1.24,1.0,1.02,0.99
e_0,3.27,2.6,3.94,3.25,2.36,1.83,1.65,1.47,1.15,1.21,0.86,1.19,1.12,0.99,1.0,1.07
g_0,3.71,2.76,3.31,2.52,2.26,2.14,1.32,1.21,1.51,1.15,1.64,1.37,1.06,1.02,0.95,1.0
