,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.67,1.51,1.34,1.22,1.29,1.22,0.66,0.62,0.44,0.94,0.61,0.46,0.4,0.44,0.3,0.54
f_1,1.42,0.66,1.58,1.44,1.32,1.06,0.53,0.48,0.67,0.54,0.45,0.56,0.32,0.46,0.44,0.38
e_1,1.58,0.91,0.65,1.54,1.55,1.43,0.64,0.55,0.69,0.62,0.58,0.65,0.45,0.52,0.49,0.76
c_1,1.87,1.64,1.33,0.63,2.01,1.28,0.55,0.6,0.59,0.34,0.42,0.46,0.44,0.5,0.44,0.52
b_1,1.53,1.94,1.46,0.9,0.62,2.12,0.89,0.63,0.79,0.51,1.0,0.59,0.5,0.56,0.5,0.54
a_1,1.95,1.99,1.73,2.05,0.95,0.57,0.96,0.75,0.86,0.68,0.72,0.79,0.68,0.96,0.64,0.54
h_1,1.82,2.18,2.3,2.75,1.9,1.91,0.58,0.76,1.1,0.82,0.73,0.83,0.8,0.61,0.65,0.6
c_0,1.46,2.56,2.53,3.7,2.06,2.15,1.08,0.63,1.18,1.09,1.13,0.83,0.76,0.95,0.7,0.75
g_1,2.37,2.8,2.44,2.57,2.24,1.92,0.72,0.76,0.56,0.84,0.76,0.8,0.59,0.84,0.71,0.62
d_0,2.76,2.25,1.51,2.74,2.8,2.19,1.18,0.87,1.36,0.63,0.99,0.81,0.69,0.93,0.72,0.73
b_0,2.0,2.52,2.24,3.75,2.97,2.05,1.26,0.56,1.22,0.9,0.61,1.05,0.82,1.02,0.7,0.87
f_0,2.46,4.2,2.15,3.0,2.34,2.1,1.08,0.93,0.87,1.02,0.83,0.6,0.81,1.02,0.51,1.04
h_0,2.55,2.91,2.49,2.77,2.67,2.08,1.52,1.0,1.24,1.01,0.91,0.94,1.04,0.82,0.87,0.81
a_0,2.53,3.49,2.72,3.46,3.12,3.21,1.28,0.83,1.32,1.36,0.59,0.91,0.86,0.57,0.8,0.93
g_0,2.94,3.04,3.0,3.14,2.66,2.28,1.1,1.01,1.37,1.15,0.97,1.14,0.69,0.86,1.01,1.08
e_0,2.41,3.79,4.63,2.58,2.68,3.31,1.43,1.12,1.27,1.4,0.96,0.6,0.88,0.96,0.68,0.58
