,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.94,0.7,0.37,0.35,0.33,0.24,0.25,0.28,0.25,0.21,0.2,0.13,0.18,0.12,0.15,0.19
e_1,0.4,0.94,0.53,0.38,0.28,0.29,0.28,0.45,0.23,0.22,0.28,0.24,0.27,0.13,0.19,0.2
c_1,0.5,0.36,0.94,0.39,0.64,0.29,0.29,0.23,0.15,0.21,0.17,0.22,0.24,0.2,0.15,0.17
d_1,0.58,0.49,0.35,0.95,0.36,0.23,0.26,0.19,0.4,0.21,0.26,0.23,0.29,0.17,0.18,0.19
b_1,0.49,0.45,0.37,0.43,0.94,0.55,0.27,0.28,0.26,0.22,0.14,0.24,0.26,0.19,0.13,0.19
a_1,0.55,0.44,0.45,0.53,0.37,0.94,0.38,0.37,0.33,0.36,0.35,0.29,0.25,0.21,0.16,0.23
h_1,0.92,0.69,0.56,0.72,0.57,0.38,0.74,0.42,0.38,0.47,0.35,0.36,0.27,0.3,0.29,0.4
d_0,0.72,0.64,1.1,0.45,0.72,0.4,0.43,0.66,0.4,0.39,0.41,0.4,0.4,0.33,0.25,0.35
c_0,0.83,0.77,0.61,0.66,0.58,0.45,0.54,0.48,0.65,0.41,0.69,0.44,0.43,0.28,0.33,0.37
g_1,0.72,0.68,0.79,0.94,0.6,0.45,0.38,0.44,0.42,0.74,0.36,0.51,0.37,0.33,0.3,0.15
b_0,0.93,0.77,0.88,0.64,0.44,0.32,0.55,0.48,0.42,0.46,0.67,0.37,0.46,0.34,0.58,0.34
f_0,0.69,0.72,0.82,0.82,0.65,0.5,0.53,0.5,0.41,0.4,0.46,0.65,0.45,0.59,0.35,0.32
h_0,1.19,0.75,0.82,0.74,0.58,0.54,0.39,0.58,0.54,0.53,0.48,0.39,0.36,0.28,0.29,0.47
e_0,1.05,0.55,0.84,1.01,0.79,0.48,0.59,0.56,0.55,0.42,0.41,0.42,0.48,0.6,0.4,0.46
a_0,1.09,0.85,0.84,0.94,0.84,,0.51,0.69,0.54,0.38,0.4,0.42,0.56,0.4,0.61,0.4
g_0,0.82,0.83,0.86,1.23,0.7,0.56,0.49,0.5,0.56,0.49,0.52,0.63,0.37,0.34,0.37,0.3
