,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.96,0.84,0.7,0.9,0.71,0.68,0.95,0.92,1.63,0.87,0.98,1.01,1.04,1.1,0.74,0.82
f_1,1.29,2.02,0.69,0.75,0.68,0.59,0.9,0.82,0.9,0.71,0.58,0.82,0.91,0.7,0.67,0.97
d_1,0.77,0.75,2.29,0.63,0.66,0.71,0.84,0.99,0.65,1.82,1.07,1.23,1.02,0.98,1.03,0.96
c_1,0.66,0.76,0.73,2.41,1.35,0.66,0.91,0.9,0.84,0.52,0.85,0.7,0.99,0.94,1.0,0.95
b_1,0.64,0.78,0.69,0.75,2.51,1.46,1.06,1.0,0.88,0.99,1.06,0.68,0.94,0.88,1.01,0.99
a_1,0.67,0.86,0.8,0.82,0.79,3.72,1.02,0.74,0.87,0.89,0.91,1.02,0.96,0.64,0.85,1.06
h_1,0.81,1.03,0.95,0.83,0.75,0.66,2.04,1.45,0.93,0.99,1.13,1.01,0.76,1.05,1.13,1.24
g_1,0.74,0.74,1.27,0.75,0.68,0.76,1.07,2.38,0.9,1.06,1.73,1.0,1.08,1.18,1.45,0.85
d_0,0.7,0.84,0.63,1.43,0.88,0.77,1.09,0.9,1.54,0.81,1.07,1.0,1.08,1.16,1.11,1.13
c_0,0.88,0.86,0.95,0.61,0.66,0.76,1.05,1.1,1.01,1.75,1.27,2.17,1.16,1.37,1.25,1.31
f_0,0.65,0.69,0.97,0.99,0.81,0.86,1.11,1.14,1.08,1.12,1.97,1.31,1.2,1.26,2.29,1.31
b_0,0.88,0.84,1.03,0.8,0.64,0.6,1.03,1.14,0.93,0.93,1.19,1.96,1.25,2.28,1.37,1.24
h_0,0.8,1.06,0.99,0.85,0.75,0.82,0.73,1.29,1.02,0.91,1.09,1.04,0.81,0.91,1.2,1.4
a_0,0.86,0.9,0.93,0.79,0.76,0.63,1.11,1.07,0.96,1.0,1.16,1.05,1.16,2.16,1.33,1.12
e_0,0.56,1.02,0.98,0.83,0.82,0.66,1.17,1.1,1.02,1.2,1.0,1.2,1.18,1.37,2.29,1.26
g_0,0.66,0.67,1.43,0.95,0.7,0.71,1.02,0.95,0.9,1.15,1.52,1.25,1.15,1.12,1.09,0.89
