,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.09,0.92,0.9,0.97,1.06,0.95,0.8,1.06,1.32,1.05,1.01,1.07,1.1,0.84,1.0
f_1,0.92,1.0,1.31,1.06,0.93,0.84,0.85,1.07,0.96,0.89,0.83,0.85,0.79,0.87,1.18,0.68
e_1,1.08,0.76,1.0,1.12,1.05,1.02,1.14,1.0,1.36,1.08,1.1,1.06,1.0,0.99,0.96,0.93
c_1,1.11,0.94,0.89,1.0,1.33,0.9,1.07,0.99,0.74,0.7,0.79,1.11,1.13,0.87,0.91,1.02
b_1,1.03,1.08,0.96,0.76,1.0,1.41,0.97,1.0,0.96,0.95,1.07,1.09,1.0,1.17,1.15,1.04
a_1,0.95,1.17,0.98,1.11,0.71,1.0,1.23,1.34,1.07,1.0,1.2,1.02,1.1,1.21,1.22,1.17
h_1,1.04,1.16,0.87,0.99,0.98,0.84,1.0,1.25,0.93,0.83,0.92,0.9,1.1,1.0,1.16,1.02
g_1,1.2,0.97,0.99,1.03,1.02,0.8,0.81,1.0,0.93,0.99,0.96,1.16,0.88,0.92,0.74,1.02
d_0,0.95,1.02,0.73,1.45,1.03,0.94,1.04,1.06,1.0,0.88,1.09,0.85,1.12,0.84,1.03,1.2
c_0,0.74,1.16,0.91,1.26,1.03,1.02,1.22,1.03,1.18,1.0,1.43,1.01,1.12,1.07,0.94,1.16
b_0,0.96,1.16,0.96,1.28,0.9,0.85,1.08,1.01,0.91,0.7,1.0,0.88,1.05,1.26,1.06,0.87
f_0,0.97,1.17,0.95,0.91,0.93,0.99,1.07,0.85,1.05,1.03,1.11,1.0,1.08,1.11,0.85,1.75
h_0,0.95,1.25,1.04,0.88,0.95,0.81,0.93,1.12,0.9,0.94,0.94,0.92,1.0,0.92,1.15,0.81
a_0,0.93,1.13,1.04,1.05,0.94,0.8,1.01,1.12,1.17,0.98,0.82,0.84,1.07,1.0,1.01,1.01
g_0,1.21,0.87,0.99,1.16,0.9,0.84,0.81,1.29,0.89,1.06,0.97,1.21,0.88,1.01,1.0,1.1
e_0,1.02,1.37,1.01,0.98,1.0,0.9,0.95,0.99,0.8,0.83,1.2,0.6,1.23,0.97,0.89,1.0
