,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,33.42,0.06,0.05,0.07,0.08,0.07,0.34,0.65,0.28,0.31,0.43,0.24,0.66,0.41,0.51,
f_1,0.12,34.69,0.07,0.07,0.08,0.09,0.29,0.35,0.41,0.21,0.41,,0.55,0.4,0.43,
d_1,0.06,0.06,40.24,0.06,0.06,0.07,0.25,,0.75,0.38,0.31,0.43,0.74,0.36,0.66,0.32
c_1,0.07,0.07,0.06,44.61,0.13,0.06,0.36,0.54,,0.24,0.24,0.32,0.49,0.44,0.58,0.47
b_1,0.07,0.07,0.08,0.06,52.09,0.09,0.32,0.5,0.46,0.28,,0.25,0.54,0.33,0.45,0.49
a_1,0.05,0.07,0.07,0.06,0.07,74.41,0.3,0.43,0.47,0.35,0.36,,0.62,,0.52,
h_1,0.26,0.36,0.2,0.23,0.29,0.39,26.09,1.51,1.33,1.37,1.45,1.81,,0.99,2.82,1.32
d_0,0.4,0.34,,0.69,0.33,0.31,1.52,16.12,1.95,1.4,1.87,2.72,4.2,1.47,2.32,2.02
c_0,0.32,0.35,0.45,,0.28,0.34,1.97,1.67,18.33,1.23,3.8,2.24,2.34,1.66,3.5,1.45
g_1,0.31,0.2,0.46,0.27,,0.21,0.9,1.16,1.55,39.0,1.3,2.99,1.72,,,1.84
b_0,0.3,0.35,0.37,0.24,,0.28,1.7,1.75,1.72,1.45,20.77,2.34,4.08,3.82,3.41,1.62
f_0,0.24,,0.44,0.42,0.44,0.31,1.6,2.37,2.1,1.79,1.57,21.5,2.7,2.04,2.63,5.38
h_0,0.54,0.81,0.5,0.58,0.49,0.57,,2.82,2.98,3.15,3.93,2.2,,1.87,6.54,2.98
a_0,0.4,0.37,0.45,0.24,0.43,,1.71,2.65,1.34,,1.51,2.2,2.95,34.38,2.67,
g_0,0.29,0.43,0.8,0.6,0.54,0.54,1.39,2.6,3.63,,3.22,5.81,5.38,3.1,,3.13
e_0,,0.36,0.44,0.59,0.33,0.43,1.33,1.27,,,1.64,2.07,3.6,2.72,4.08,36.85
