,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.68,1.28,0.71,0.82,0.76,0.63,0.93,0.92,0.88,1.04,0.99,0.67,0.94,0.98,0.76,0.95
e_1,0.86,1.77,0.79,0.96,0.75,0.72,1.01,1.03,0.95,1.62,1.02,1.0,1.01,0.98,0.75,0.89
d_1,0.9,0.8,1.88,0.73,0.72,0.75,0.97,0.92,1.61,0.62,1.19,0.97,0.99,0.97,0.98,0.96
c_1,0.8,0.72,0.8,1.96,1.34,0.84,0.96,0.92,0.63,0.83,0.77,1.08,0.93,0.97,0.97,0.97
b_1,0.86,0.74,0.88,0.76,2.1,1.49,0.91,0.93,0.92,0.81,0.7,0.98,0.77,0.93,0.98,0.91
a_1,0.87,0.74,0.91,0.86,0.81,2.99,1.0,0.91,0.92,0.88,0.89,0.93,0.75,1.0,1.09,1.08
h_1,1.05,0.85,0.97,0.88,0.82,0.79,1.66,1.15,0.84,0.94,0.98,1.15,1.17,0.98,1.08,1.35
g_1,0.77,0.77,1.25,0.88,0.77,0.8,1.02,2.03,1.11,0.9,1.02,1.47,1.06,1.12,1.29,1.05
c_0,0.94,0.91,0.94,0.72,0.71,0.78,1.03,1.04,1.45,1.1,1.9,1.06,1.39,1.13,1.17,1.19
d_0,0.83,0.74,0.7,1.49,0.91,0.81,0.98,1.04,0.7,1.48,0.89,1.06,1.02,1.12,1.08,0.97
b_0,0.93,0.89,0.87,1.02,0.7,0.59,1.21,1.16,0.99,1.14,1.71,1.06,2.09,1.22,1.24,1.21
f_0,0.81,0.79,1.0,0.93,0.82,0.89,1.07,1.1,0.94,1.02,1.21,1.72,1.03,1.13,2.12,1.16
a_0,0.85,0.82,0.98,0.97,0.9,0.57,1.06,1.11,1.0,1.0,1.02,1.07,1.83,1.25,1.19,1.14
h_0,1.05,0.79,0.99,0.87,0.88,0.81,0.84,1.27,1.05,0.99,0.96,1.07,0.98,0.74,1.11,1.35
e_0,1.08,0.79,0.97,0.81,0.84,0.64,1.13,1.02,1.03,0.94,1.1,1.22,1.27,1.3,2.27,1.19
g_0,0.84,0.73,1.25,0.9,0.89,0.83,0.92,0.71,1.04,0.84,0.98,1.54,1.14,1.11,1.31,0.93
