,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.1,0.68,0.82,0.6,0.69,0.67,0.99,0.96,1.66,0.61,1.33,1.01,0.97,1.15,1.08,1.09
e_1,0.62,2.07,0.77,0.92,0.77,0.76,0.9,0.89,0.9,1.64,0.92,1.13,1.05,1.08,0.66,0.94
f_1,0.66,1.34,2.13,0.75,0.67,0.57,0.72,0.81,0.87,0.94,0.99,0.56,0.97,0.88,0.65,0.66
c_1,0.76,0.66,0.67,2.43,1.34,0.79,0.93,0.85,0.5,0.84,0.69,1.01,0.89,0.79,0.76,0.96
b_1,0.86,0.62,0.81,0.74,2.63,1.36,1.11,0.9,0.82,0.78,0.6,0.88,0.83,0.56,1.14,1.05
a_1,0.83,0.77,0.87,0.77,0.61,3.48,1.06,1.01,0.86,1.11,0.87,1.03,1.2,0.62,1.22,1.08
h_1,0.86,0.74,1.04,0.9,0.82,0.77,2.0,1.29,0.98,0.97,1.08,0.94,0.8,0.89,1.18,1.42
g_1,1.35,0.64,0.57,0.86,0.81,0.76,1.03,2.44,1.02,0.8,1.04,1.6,1.03,1.21,1.43,0.84
c_0,0.99,0.86,0.86,0.58,0.68,0.74,0.99,1.16,1.67,1.09,1.98,1.15,1.23,1.5,1.1,1.11
d_0,0.61,0.85,0.89,1.58,0.78,0.65,0.96,1.05,0.69,1.65,0.81,1.06,1.05,0.99,1.11,1.09
b_0,1.04,0.84,0.84,0.79,0.48,0.6,1.14,1.17,1.13,0.98,1.91,0.98,1.19,2.46,1.07,1.19
f_0,0.93,0.6,0.74,0.85,0.8,1.03,1.24,1.23,1.13,0.98,1.15,1.96,1.31,1.13,2.6,1.17
h_0,0.97,0.8,1.18,0.9,0.81,0.6,0.7,1.32,1.09,0.9,0.92,0.93,0.82,1.24,0.85,1.3
a_0,1.01,0.9,0.84,0.92,0.63,0.57,1.19,1.2,1.15,1.06,1.16,1.14,1.15,2.16,0.98,1.12
e_0,0.99,0.64,0.88,0.89,0.84,0.78,1.19,1.09,1.1,0.95,1.11,1.08,1.34,1.17,2.34,1.21
g_0,1.31,0.72,0.82,0.79,0.72,0.76,1.05,1.01,1.15,0.88,1.0,1.58,0.98,1.26,1.09,1.01
