,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,33.97,0.12,0.06,0.06,0.09,0.08,0.31,0.34,0.27,0.41,0.34,,0.54,0.33,0.3,0.62
e_1,0.07,36.92,0.05,0.06,0.06,0.05,0.28,0.77,0.34,0.49,0.24,0.42,0.47,0.32,,0.6
c_1,0.07,0.06,40.99,0.07,0.11,0.07,0.27,0.37,0.25,,0.43,0.48,0.62,0.26,0.35,0.66
d_1,0.06,0.07,0.07,43.26,0.07,0.07,0.26,,0.28,0.61,0.39,0.31,0.72,0.39,0.23,0.69
b_1,0.09,0.07,0.06,0.07,48.66,0.13,0.37,0.33,0.31,0.22,,0.4,0.67,0.23,0.26,0.7
a_1,0.07,0.06,0.07,0.07,0.07,71.98,0.32,0.4,0.36,0.44,0.31,0.45,0.45,,,
h_1,0.35,0.23,0.27,0.32,0.21,0.23,27.17,1.51,1.35,1.57,1.96,1.23,,1.38,1.69,2.09
d_0,0.37,0.36,0.59,,0.32,0.31,1.25,17.32,1.34,2.05,2.01,2.08,4.58,1.71,2.09,2.72
g_1,0.19,0.24,0.29,0.34,0.25,,1.21,1.22,36.97,1.49,1.61,3.29,1.73,1.59,1.18,
c_0,0.28,0.27,,0.47,0.33,0.29,1.53,2.7,1.11,19.31,4.22,1.37,3.24,1.92,2.0,3.03
b_0,0.39,0.3,0.33,0.38,,0.32,1.82,1.95,0.99,1.94,19.65,1.76,3.3,3.97,2.04,3.42
f_0,,0.35,0.33,0.38,0.43,0.38,1.74,1.61,1.43,1.13,1.77,23.45,3.57,2.75,6.36,1.61
h_0,0.74,0.58,0.46,0.56,0.5,0.67,,2.71,3.14,2.48,3.81,2.42,,3.16,2.63,6.45
a_0,0.38,0.32,0.36,0.22,0.35,,1.1,2.39,1.6,2.76,,1.34,3.94,31.48,,3.18
e_0,0.18,,0.54,0.42,0.5,0.46,1.45,1.89,1.41,2.37,1.93,2.45,3.51,,32.84,
g_0,0.5,0.43,0.63,0.73,0.52,0.73,3.1,2.55,,2.97,2.67,4.51,3.1,1.91,3.71,
