,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.16,0.83,0.39,0.72,0.64,0.57,0.19,0.17,0.14,0.27,0.16,0.14,0.09,0.12,0.3,0.16
d_1,0.83,0.16,0.77,0.78,0.62,0.63,0.18,0.38,0.12,0.11,0.13,0.11,0.09,0.05,0.12,0.11
f_1,0.58,0.68,0.16,0.67,0.6,0.59,0.15,0.12,0.13,0.22,0.13,0.31,0.07,0.13,0.14,0.15
c_1,0.52,0.84,0.59,0.16,0.78,0.65,0.18,0.07,0.23,0.17,0.14,0.14,0.1,0.09,0.13,0.11
b_1,0.67,0.68,0.86,0.32,0.13,1.03,0.19,0.15,0.17,0.2,0.27,0.12,0.12,0.1,0.14,0.12
a_1,0.9,0.68,0.58,0.82,0.34,0.09,0.2,0.15,0.13,0.27,0.19,0.15,0.11,0.1,0.12,0.24
h_1,0.53,0.61,0.6,0.49,0.55,0.42,0.06,0.11,0.12,0.15,0.1,0.09,0.11,0.07,0.09,0.1
d_0,0.26,0.92,0.57,0.64,0.58,0.45,0.17,0.06,0.12,0.18,0.13,0.1,0.07,0.09,0.12,0.09
c_0,0.55,0.28,0.61,0.89,0.59,0.5,0.17,0.18,0.06,0.16,0.1,0.1,0.08,0.08,0.11,0.1
g_1,0.52,0.51,0.62,0.55,0.54,0.48,0.12,0.12,0.13,0.05,0.14,0.11,0.06,0.09,0.11,0.09
b_0,0.52,0.41,0.62,0.74,1.02,0.46,0.14,0.11,0.06,0.13,0.05,0.09,0.08,0.08,0.09,0.08
f_0,0.48,0.45,1.0,0.56,0.59,0.41,0.14,0.12,0.1,0.09,0.1,0.05,0.08,0.05,0.09,0.09
h_0,0.49,0.46,0.44,0.56,0.5,0.51,0.21,0.12,0.11,0.19,0.1,0.1,0.13,0.07,0.08,0.08
g_0,0.42,0.55,0.64,0.61,0.52,0.49,0.12,0.14,0.1,0.19,0.1,0.09,0.06,0.12,0.1,0.09
e_0,0.88,0.36,0.69,0.57,0.58,0.47,0.14,0.13,0.11,0.11,0.11,0.05,0.08,0.07,0.04,0.08
a_0,0.48,0.43,0.61,0.58,0.61,0.77,0.15,0.1,0.1,0.16,0.06,0.1,0.1,0.08,0.12,0.04
