,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.73,0.88,0.95,0.95,0.88,0.74,0.79,0.56,0.6,0.71,0.57,0.6,0.53,0.67,
f_1,1.37,1.0,0.99,0.92,0.95,0.88,0.6,0.64,0.67,0.6,0.65,,0.46,0.55,0.52,
d_1,1.14,1.01,1.0,1.01,0.84,0.87,0.77,,0.83,0.58,0.58,0.59,0.69,0.5,0.51,0.46
c_1,1.05,1.08,0.99,1.0,1.41,0.86,0.87,0.6,,0.61,0.63,0.54,0.54,0.76,0.55,0.5
b_1,1.06,1.05,1.2,0.71,1.0,1.06,0.77,0.86,0.88,,,0.48,0.64,0.51,0.54,0.7
a_1,1.14,1.14,1.15,1.16,0.95,1.0,0.72,0.89,0.88,0.93,0.82,,0.69,,0.62,
h_1,1.34,1.66,1.3,1.15,1.3,1.39,1.0,0.94,0.77,1.11,0.84,0.93,,0.61,1.11,0.78
d_0,1.27,1.57,,1.66,1.16,1.12,1.06,1.0,1.06,1.06,0.99,0.99,1.06,0.64,0.8,1.05
c_0,1.78,1.5,1.2,,1.14,1.14,1.29,0.94,1.0,0.87,1.41,0.97,0.79,0.95,0.85,
g_1,1.67,1.66,1.74,1.65,,1.08,0.9,0.95,1.14,1.0,0.95,1.22,0.68,,,
b_0,1.4,1.53,1.74,1.59,,1.22,1.19,1.01,0.71,1.06,1.0,1.17,0.93,1.39,0.9,0.87
f_0,1.75,,1.68,1.85,2.07,,1.08,1.01,1.03,0.82,0.86,1.0,1.05,0.89,0.63,1.42
h_0,1.66,2.16,1.45,1.85,1.57,1.44,,0.94,1.26,1.47,1.07,0.96,,0.78,1.05,0.87
a_0,1.89,1.81,2.02,1.32,1.94,,1.63,1.55,1.05,,0.72,1.12,1.28,1.0,0.92,
g_0,1.48,1.91,1.97,1.81,1.87,1.6,0.9,1.25,1.18,,1.11,1.59,0.95,1.09,,0.88
e_0,,,2.16,1.99,1.43,,1.28,0.96,,,1.15,0.7,1.14,,1.14,1.0
