,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,8968.0,161.05,187.98,251.95,424.95,1803.13,183934.88,394382.44,855127.13,1345144.7,1294771.42,1081456.52,2490074.84,7083975.27,,15748813.73
f_1,259.0,12859.8,148.17,364.18,471.02,1317.87,188502.06,244914.8,699322.53,1022024.93,,1210805.7,3680033.08,5810694.75,3765981.49,14282303.46
d_1,110.25,149.6,13677.29,255.25,491.3,2432.94,181527.52,343312.64,1274370.29,,1360302.12,1176769.22,3386917.76,6085509.31,8798359.37,15530237.7
c_1,151.78,128.65,163.13,28444.85,803.0,1635.48,220935.23,287054.19,,759626.04,1462358.8,1419133.72,4117154.84,6810467.51,6111617.95,13019750.16
b_1,127.67,210.07,177.58,262.1,43487.15,2571.58,199441.21,252385.67,662806.18,890511.21,1714326.3,,2774445.01,8947502.62,4435267.33,12148166.16
a_1,200.17,120.89,152.68,267.39,434.27,236277.28,189253.51,252881.34,750952.76,,1288269.83,1040158.54,,8965074.82,,12307268.93
h_1,417.15,752.25,472.73,1134.42,1387.2,6906.4,8080301.89,1296958.85,2508284.38,3835896.1,4858221.86,6864487.13,18966739.43,,26981635.41,83541968.33
g_1,371.44,730.15,797.49,1789.53,1801.33,6159.99,408313.13,16555298.28,2615019.89,1864254.09,7850679.8,6565078.65,18764965.61,27160361.77,,
c_0,383.75,802.77,1048.87,,1705.95,8844.31,874221.22,1688793.95,22686986.4,4739873.24,7560504.53,15261017.44,19083999.03,31568148.46,31476459.29,91961388.36
d_0,601.67,958.96,,2863.37,2350.47,,861550.77,1337261.57,4084572.95,29159463.88,5722498.75,7150599.84,19947249.39,48925266.47,27965232.29,66083319.96
f_0,552.52,,1104.44,1390.28,1663.11,8029.14,714280.83,1402474.62,4785603.35,5163606.18,56536460.93,6583839.59,15159419.73,29832070.7,69384434.53,89029378.16
b_0,515.36,821.39,902.65,1574.52,,8043.95,983948.2,1588331.2,3109902.41,5011472.72,10270030.04,55908841.29,33629218.81,27288232.16,24423293.27,75471540.7
a_0,562.51,877.06,932.73,1629.49,1541.88,,1031527.9,1487237.2,2656528.14,3935647.53,8772823.14,6036853.93,207109620.42,38295069.47,,57142969.67
h_0,786.05,2036.84,1431.2,2252.54,3689.01,14025.16,,3246136.92,5508389.23,6442642.83,9508778.56,10431328.48,23057604.8,,34940412.78,113930411.81
e_0,,939.73,707.89,1645.46,2912.27,,1023362.77,,2964937.74,5086118.03,7566007.58,11229504.01,,46457538.11,346585715.27,83400668.74
g_0,923.69,927.49,2301.52,2442.16,2538.39,12975.66,865746.63,,5643639.86,5215472.76,15060487.78,10133290.52,29748427.62,60787476.35,51519282.1,
