,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,103.7,67.74,72.95,165.28,194.66,522.31,8729.84,15284.33,24557.58,44906.51,42418.76,67646.53,110873.38,163068.31,174624.82,292974.1
f_1,96.94,105.5,73.92,137.87,170.37,530.82,7682.95,14220.84,23185.71,29595.97,41118.93,44796.7,102533.56,138783.95,119727.9,283909.99
d_1,66.98,73.48,114.54,111.71,185.25,500.05,8652.76,14133.55,38464.86,24867.16,43320.24,56655.49,100618.3,149188.7,183343.49,284837.35
c_1,53.3,56.45,68.68,177.75,217.76,452.92,6899.25,10064.35,15967.75,19461.58,28679.6,46088.77,77864.93,112864.91,136901.12,250993.59
b_1,47.09,53.69,56.1,87.97,225.39,674.88,7385.6,10836.04,19062.0,19967.13,23464.93,44247.25,62154.56,116838.12,133750.97,211661.05
a_1,36.67,37.52,41.14,75.41,79.24,550.11,4915.86,8073.82,14442.06,15279.83,22176.02,30015.86,50390.29,89456.35,89140.53,157596.65
h_1,17.61,23.33,22.19,34.59,34.97,123.91,2874.56,4499.82,7116.84,6774.23,10384.86,14998.41,26011.93,36443.4,45271.77,91121.21
g_1,14.29,15.58,21.58,32.93,37.22,101.97,1733.31,4274.27,6097.15,6389.78,8971.44,15745.54,22019.44,33470.59,44290.07,62190.72
c_0,13.65,14.53,14.29,25.13,32.25,81.79,1715.87,2834.19,6165.87,5644.56,11248.8,11428.97,22384.25,29240.35,39148.43,58237.19
d_0,11.0,13.12,12.12,41.51,34.75,83.85,1574.18,2614.65,3522.01,6382.28,7028.69,10392.57,18958.98,28239.59,34321.23,55292.71
b_0,11.03,12.82,13.3,23.55,26.22,67.88,1580.87,2471.97,3885.27,4626.98,8341.0,9177.35,27890.08,27995.24,30962.7,50385.59
f_0,8.61,11.44,12.35,20.78,25.4,77.24,1364.99,2121.02,3902.51,4268.17,7125.16,10636.27,17301.57,24699.9,49988.68,47063.49
a_0,8.19,9.49,9.38,17.95,23.11,55.61,1187.5,1808.14,3410.94,3248.76,4693.17,7640.36,16273.81,20773.56,22524.77,31793.62
h_0,7.23,9.77,9.71,16.11,21.59,48.99,922.19,1895.66,2858.29,3069.25,4208.84,6037.56,11972.14,14613.4,19752.14,38287.23
e_0,6.54,9.18,7.6,13.02,19.54,58.1,972.96,1454.24,2673.62,2489.87,4455.57,4633.0,11778.61,17071.92,26907.83,31665.21
g_0,5.43,6.49,8.73,11.61,16.47,43.79,763.63,1243.85,2518.92,2046.6,3997.72,6718.57,11281.19,13537.3,17669.9,27046.34
