,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.37,1.18,1.0,1.49,1.33,1.15,2.26,4.28,2.57,2.57,2.93,3.1,3.93,3.21,2.24,3.18
f_1,1.81,2.44,1.14,1.27,1.01,1.06,2.38,2.56,2.59,2.19,2.74,1.8,2.72,2.45,2.31,3.72
d_1,1.31,1.29,2.57,0.94,1.24,1.19,2.33,1.48,4.1,2.1,2.71,2.7,3.42,2.95,2.58,3.01
c_1,1.09,1.11,1.28,2.66,2.06,1.14,2.11,2.27,1.28,2.08,2.34,2.42,3.16,2.21,2.91,3.16
b_1,1.03,1.34,1.21,1.12,2.83,2.13,2.29,2.74,2.77,2.88,2.24,2.78,3.31,2.5,2.8,2.92
a_1,1.26,1.51,1.31,1.3,0.92,3.22,2.72,2.96,2.25,1.78,2.65,2.47,3.35,1.86,3.09,3.78
h_1,1.22,1.75,1.46,1.27,1.23,1.12,4.06,2.65,2.95,3.21,3.12,3.02,2.87,3.1,2.43,4.37
d_0,1.16,1.39,1.13,2.15,1.43,1.24,2.47,3.85,2.27,2.55,2.79,2.95,3.95,2.96,2.92,3.84
c_0,1.4,1.62,1.33,1.11,1.15,1.59,2.97,2.76,4.01,2.63,4.39,2.96,3.61,3.47,3.25,3.76
g_1,1.05,1.15,2.13,1.33,1.08,1.5,2.5,2.57,2.69,4.59,2.81,4.16,3.13,2.39,3.63,2.85
b_0,1.33,1.43,1.42,1.44,0.96,1.26,2.8,2.99,2.75,2.78,4.18,3.17,4.01,5.49,3.17,3.87
f_0,1.11,1.16,1.54,1.6,1.23,1.44,2.78,2.91,3.34,2.64,3.05,4.43,4.33,3.11,5.54,3.5
h_0,1.26,1.74,1.38,1.45,1.33,1.22,2.38,2.95,2.97,3.49,2.76,2.86,2.87,2.92,3.19,4.15
a_0,1.35,1.59,1.51,1.43,1.24,0.74,2.89,2.64,2.81,3.18,2.48,3.63,4.04,5.07,2.76,3.95
e_0,0.84,1.46,1.56,1.23,1.48,1.36,3.36,2.96,3.18,2.77,3.63,2.86,3.85,3.45,5.2,3.8
g_0,1.24,1.16,1.85,1.3,1.43,1.23,2.4,2.32,3.12,2.41,2.97,4.1,3.41,3.8,3.44,2.96
