,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.08,2.09,2.05,2.3,2.28,1.92,0.47,0.71,0.42,0.42,0.42,0.56,0.23,0.35,0.38,0.34
e_1,1.53,1.09,2.32,2.4,2.5,2.32,0.67,0.73,0.44,0.51,0.48,0.57,0.31,0.46,0.64,0.35
d_1,2.72,3.04,1.09,2.63,2.61,2.12,0.75,0.46,0.48,0.77,0.48,0.48,0.34,0.48,0.45,0.23
c_1,2.78,2.22,3.33,1.1,2.46,2.66,0.76,0.86,0.72,0.34,0.58,0.61,0.44,0.53,0.56,0.39
b_1,3.26,2.92,3.46,1.77,1.11,3.16,1.01,0.93,0.92,0.61,1.09,0.73,0.46,0.6,0.76,0.45
a_1,5.42,5.24,4.64,3.85,2.47,1.12,1.4,1.31,1.14,1.1,1.14,0.88,0.72,1.34,1.15,0.81
h_1,10.22,10.71,9.29,10.34,9.25,7.51,1.53,3.05,1.9,2.05,1.84,1.85,2.14,1.68,1.83,1.45
g_1,13.12,15.17,10.28,11.12,11.31,9.28,2.56,1.55,2.57,2.9,2.35,2.54,1.45,2.51,2.08,1.87
c_0,13.82,14.47,7.43,15.54,13.17,10.52,3.22,2.82,1.78,3.76,2.64,2.71,2.01,2.4,2.82,1.55
d_0,12.46,8.07,14.47,14.58,13.3,11.76,3.94,5.21,2.71,1.9,2.81,2.61,2.12,2.54,2.4,1.76
b_0,15.7,15.41,11.47,15.31,15.6,10.88,3.72,2.93,1.63,2.9,1.8,2.65,2.11,2.63,2.63,1.76
f_0,19.72,16.63,14.34,16.71,16.24,13.82,4.55,2.8,2.98,4.03,3.45,1.79,2.55,3.68,2.87,1.52
h_0,20.98,17.89,17.77,18.08,17.24,17.21,5.62,5.17,3.56,3.66,3.96,3.75,3.06,3.27,3.81,2.44
a_0,22.04,18.87,17.3,23.07,26.35,21.76,5.32,5.09,3.24,4.1,2.5,4.8,2.91,2.24,3.39,2.24
e_0,31.9,26.33,23.03,19.57,24.29,17.53,5.87,5.13,4.46,4.93,4.38,2.13,3.35,5.51,2.04,2.44
g_0,24.68,23.41,23.7,27.36,25.16,22.01,5.95,7.05,4.8,5.21,4.71,4.75,2.93,4.29,5.22,3.81
