,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.37,1.2,0.69,0.7,0.71,0.91,1.33,1.52,1.32,1.49,1.82,0.73,2.05,1.71,2.17,1.31
e_1,0.72,2.44,0.65,0.88,0.73,0.55,1.54,1.83,1.42,2.81,1.68,2.04,2.37,1.84,2.16,1.11
d_1,0.81,0.76,2.47,0.74,0.83,0.62,1.63,2.63,1.27,0.73,1.7,1.66,1.95,1.51,1.9,2.03
c_1,0.83,0.63,0.85,2.52,1.2,0.78,1.65,0.71,1.28,1.48,1.43,1.57,2.11,1.35,2.39,1.7
b_1,0.76,0.72,0.84,0.75,2.78,1.28,1.55,1.75,1.38,1.67,0.89,1.6,2.13,1.79,1.68,1.48
a_1,0.61,0.89,0.84,0.85,0.6,3.4,1.51,1.89,1.85,2.02,1.75,1.73,2.2,0.86,1.77,1.68
h_1,1.26,0.95,1.1,0.88,0.94,1.1,3.78,1.99,2.58,1.98,2.64,2.19,1.87,2.08,3.52,2.28
c_0,1.22,0.95,0.83,0.84,0.91,0.89,2.17,3.69,2.59,2.73,4.04,2.65,2.93,2.59,2.61,2.5
g_1,1.0,0.97,1.4,1.06,0.98,0.84,1.48,1.78,4.39,1.65,2.05,2.91,2.07,2.07,1.32,2.34
d_0,1.17,0.81,0.51,1.64,0.96,0.78,2.29,1.79,2.36,3.77,2.62,2.27,2.48,2.51,3.37,2.63
b_0,1.22,1.06,0.98,1.22,0.52,0.91,1.6,1.88,2.34,2.22,4.18,2.76,2.85,4.97,3.08,2.62
f_0,0.66,0.82,1.1,1.21,1.09,1.09,2.13,2.27,1.9,2.44,2.13,4.23,2.76,2.81,2.41,4.31
h_0,1.46,0.92,1.03,1.03,0.77,0.92,0.9,2.13,2.77,2.29,2.2,2.17,1.78,2.2,2.97,1.93
a_0,1.07,0.84,1.44,1.13,0.88,,2.04,2.11,1.81,2.39,1.66,2.47,3.42,4.61,2.65,2.92
g_0,0.85,0.95,1.44,0.96,1.09,0.87,1.73,2.22,1.62,2.12,2.07,3.5,2.55,2.06,1.81,2.33
e_0,1.25,0.53,1.12,1.16,1.25,1.1,1.8,2.69,1.68,2.36,2.09,2.27,3.03,1.66,2.61,4.96
