,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,13.18,0.76,0.62,0.49,0.51,0.62,1.01,0.81,2.36,0.51,1.48,1.1,1.13,1.18,1.08,1.2
f_1,0.57,13.21,1.43,0.54,0.62,0.49,0.94,0.86,0.88,1.05,0.9,0.57,1.11,0.95,0.53,0.92
e_1,0.56,0.71,13.17,0.97,0.65,0.56,0.82,0.81,0.89,2.27,1.08,0.83,0.94,0.93,0.61,0.85
c_1,0.65,0.57,0.5,14.73,1.49,0.8,0.88,0.96,0.36,0.83,0.51,0.96,0.8,0.9,0.97,0.92
b_1,0.63,0.58,0.6,0.69,16.22,1.76,0.78,0.89,0.79,0.84,0.5,0.87,0.68,0.84,0.93,0.89
a_1,0.62,0.67,0.57,0.78,0.79,22.46,1.18,1.04,0.81,0.96,0.84,1.18,0.49,1.0,1.27,1.08
h_1,0.94,1.28,0.66,0.64,0.51,0.61,3.83,1.44,1.09,0.91,1.31,1.13,1.0,0.82,1.31,1.48
g_1,1.59,0.61,0.58,0.59,0.58,0.66,1.01,4.87,0.93,0.79,1.2,2.26,1.22,1.33,1.62,0.79
c_0,1.01,0.81,0.92,0.53,0.56,0.65,0.99,1.21,2.49,0.96,3.29,1.32,1.53,0.99,1.33,1.05
d_0,0.48,0.65,0.76,2.5,0.78,0.76,0.91,1.0,0.52,2.05,0.84,0.96,1.04,1.05,0.93,0.8
b_0,0.92,0.95,0.67,1.05,0.45,0.5,1.12,1.12,1.09,1.04,2.66,1.08,2.71,1.32,1.13,1.08
f_0,1.09,0.47,0.52,0.83,0.84,0.73,1.27,1.33,1.33,0.91,1.16,3.28,1.2,1.13,3.85,1.45
a_0,0.9,0.85,0.74,0.94,0.71,0.52,1.14,1.09,1.01,0.91,1.25,1.07,3.08,1.52,1.05,1.08
h_0,0.92,1.31,0.79,0.73,0.64,0.62,0.68,1.58,0.98,0.98,1.02,1.04,1.09,0.71,0.99,1.31
e_0,0.96,0.74,0.46,0.88,1.03,0.78,1.18,1.19,1.17,0.87,1.06,1.12,1.18,1.45,3.99,1.08
g_0,2.12,0.63,0.61,0.77,0.62,0.54,1.13,0.79,1.32,0.83,1.21,1.79,0.93,1.16,1.39,0.76
