,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.69,1.28,0.73,0.82,0.72,0.61,0.9,1.0,0.86,0.96,0.94,0.69,0.96,0.96,0.71,0.82
e_1,0.93,1.73,0.72,0.91,0.79,0.79,0.99,1.55,0.83,0.91,1.06,0.96,1.06,0.92,0.86,0.93
d_1,0.85,0.81,2.02,0.67,0.73,0.73,0.96,0.74,1.8,1.02,1.19,1.09,1.0,1.16,1.09,1.12
c_1,0.78,0.72,0.79,1.93,1.39,0.86,0.86,0.82,0.67,0.73,0.67,0.98,0.92,0.89,1.03,0.93
b_1,0.75,0.75,0.82,0.89,2.05,1.39,0.97,0.91,0.85,0.92,0.77,1.03,1.0,0.71,0.98,1.09
a_1,0.87,0.79,0.99,0.83,0.75,2.83,1.08,0.92,0.96,1.07,0.91,0.99,1.0,0.75,1.03,0.96
h_1,1.13,0.83,0.99,0.93,0.72,0.64,1.74,0.93,0.9,1.31,1.02,1.0,0.75,1.19,1.06,1.22
d_0,0.91,0.74,0.62,1.44,0.95,0.79,1.05,1.34,0.71,1.08,0.9,1.12,1.09,1.05,1.02,0.96
c_0,0.94,0.96,0.95,0.86,0.66,0.82,1.07,0.94,1.54,1.06,1.9,1.01,1.09,1.52,1.14,1.16
g_1,0.84,0.82,1.35,0.9,0.81,0.71,0.99,0.87,1.02,2.12,1.07,1.58,1.08,0.92,1.07,0.88
b_0,0.99,0.81,1.0,0.98,0.6,0.82,1.04,1.06,1.03,1.09,1.69,0.92,1.17,2.04,1.0,0.98
f_0,0.75,0.63,1.08,0.92,0.9,0.89,1.3,0.87,1.17,1.14,1.19,1.93,1.1,1.32,2.3,1.24
h_0,1.07,0.86,0.94,0.85,0.82,0.88,0.8,0.92,0.88,1.31,1.09,1.08,0.82,0.88,0.95,1.26
a_0,0.97,0.87,0.95,0.89,0.84,0.58,1.11,0.93,1.01,1.21,1.25,1.05,1.22,1.91,0.93,1.11
e_0,0.96,0.64,1.0,0.93,0.95,0.92,1.14,0.78,1.07,1.12,1.12,0.87,1.21,1.2,1.99,1.32
g_0,0.85,0.68,1.41,0.84,0.73,0.86,1.1,0.76,1.13,0.87,1.18,1.59,0.99,1.13,1.38,1.05
