,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.46,3.63,4.44,3.94,3.95,4.16,0.88,1.49,0.72,0.77,0.79,2.99,0.38,0.68,0.81,0.69
e_1,2.28,0.45,4.23,4.84,4.46,5.34,1.25,1.55,0.93,0.91,0.79,1.05,0.65,1.01,4.08,0.73
d_1,4.17,5.78,0.42,4.44,4.77,4.92,1.47,0.78,0.81,5.34,0.84,0.9,0.58,0.77,0.66,0.37
c_1,4.33,4.05,5.38,0.41,3.73,5.44,1.39,1.55,3.63,0.49,1.17,1.22,0.73,0.7,1.17,0.58
b_1,6.31,4.74,5.26,2.52,0.39,4.06,1.44,1.33,1.25,0.97,4.32,1.2,0.66,1.21,1.61,0.77
a_1,6.68,7.24,5.07,6.43,3.41,0.32,2.02,1.66,1.46,1.57,1.78,0.81,0.82,6.02,1.19,1.03
h_1,4.63,4.99,4.71,6.04,6.95,4.35,0.34,2.09,0.97,0.98,0.89,1.0,3.62,1.15,0.92,0.72
g_1,6.69,8.83,4.78,5.88,5.37,4.6,1.1,0.31,1.05,1.5,0.93,1.0,0.78,1.48,0.76,1.82
c_0,6.46,6.12,2.79,25.21,5.99,5.06,1.72,1.24,0.44,1.6,1.13,1.37,0.95,1.17,1.32,1.04
d_0,6.72,2.82,19.01,6.54,6.59,4.81,1.82,2.81,1.12,0.44,1.33,1.07,1.14,1.21,0.84,0.91
b_0,7.56,5.9,4.99,7.11,17.93,4.29,1.42,1.37,0.64,1.32,0.39,0.99,0.88,1.21,1.19,0.8
f_0,21.34,6.16,5.93,6.34,6.81,5.95,2.29,0.88,0.94,1.67,1.14,0.36,0.96,1.56,1.07,0.68
h_0,7.1,6.26,7.2,7.17,7.1,7.36,,2.22,1.38,1.22,1.34,1.07,3.69,1.19,1.32,1.01
a_0,8.29,5.94,7.98,7.26,8.86,,1.62,2.08,1.65,1.47,0.86,1.52,1.08,0.37,0.98,0.97
e_0,12.95,19.59,9.25,5.74,7.54,8.33,1.92,1.95,1.49,1.4,1.25,0.5,1.06,2.29,0.3,0.81
g_0,9.25,6.54,7.26,10.2,8.96,7.54,1.69,5.05,1.36,1.79,1.78,1.73,1.13,1.65,2.3,
