,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.15,39.94,93.84,68.16,81.03,51.68,24.8,27.85,26.96,17.19,18.72,20.07,18.39,13.16,,11.2
f_1,92.15,1.15,99.2,115.35,70.64,122.75,19.73,20.32,18.49,15.48,,18.07,16.92,7.29,15.79,16.0
d_1,83.96,106.52,1.15,96.74,88.87,103.37,33.38,19.79,15.05,,14.29,17.48,16.92,11.03,22.29,6.86
c_1,130.28,90.13,128.59,1.15,125.23,122.75,28.93,18.34,,11.46,23.61,20.85,20.14,14.57,19.95,13.44
b_1,118.06,106.52,102.12,62.48,1.15,115.53,36.17,27.85,29.41,21.34,30.17,,32.54,13.6,17.23,19.76
a_1,151.12,206.76,112.0,166.61,105.96,1.15,39.45,44.24,30.81,,33.94,33.88,,19.43,,21.0
h_1,87.86,85.73,89.03,73.15,81.03,85.39,2.0,39.58,18.49,18.76,22.62,16.42,15.67,,15.79,18.67
g_1,83.96,135.19,96.44,115.35,131.19,130.93,25.53,2.0,19.61,24.76,23.61,20.85,22.26,10.2,,
c_0,82.13,100.43,55.11,,105.96,93.52,28.0,26.86,3.1,17.19,14.68,22.58,26.44,12.75,23.69,12.44
d_0,65.14,85.73,,115.35,98.39,,22.84,47.0,18.49,3.0,16.97,17.48,22.26,13.6,17.23,16.8
f_0,130.28,,124.0,115.35,98.39,130.93,34.72,21.49,22.31,29.48,2.98,16.42,19.23,17.74,22.29,11.2
b_0,157.42,140.6,144.67,119.96,,163.67,24.8,25.93,11.16,23.81,25.86,3.04,28.2,16.32,15.16,16.8
a_0,236.13,159.77,173.6,142.81,211.92,,31.0,31.33,30.81,29.48,38.79,17.48,2.84,25.5,,19.76
h_0,99.42,121.21,115.73,103.41,78.71,78.56,,25.93,22.31,14.4,23.61,25.81,18.39,,15.16,11.59
e_0,,270.38,115.73,166.61,229.58,,37.74,,32.35,36.41,14.68,41.69,,29.14,2.94,19.76
g_0,118.06,130.19,119.72,142.81,153.06,151.08,22.26,,20.22,28.14,20.88,24.64,32.54,16.32,22.29,
