,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.95,0.73,0.45,0.44,0.34,0.24,0.28,0.26,0.27,0.26,0.16,0.24,0.17,0.25,0.15,0.22
e_1,0.42,0.95,0.36,0.55,0.45,0.3,0.34,0.48,0.26,0.28,0.28,0.26,0.22,0.26,0.14,0.2
d_1,0.52,0.57,0.95,0.35,0.34,0.32,0.33,0.22,0.22,0.48,0.27,0.29,0.19,0.24,0.23,0.2
c_1,0.49,0.4,0.48,0.94,0.66,0.3,0.31,0.27,0.26,0.17,0.26,0.21,0.2,0.24,0.22,0.23
b_1,0.57,0.42,0.53,0.37,0.94,0.51,0.33,0.29,0.26,0.27,0.31,0.16,0.19,0.26,0.22,0.24
a_1,0.67,0.56,0.51,0.53,0.41,0.94,0.42,0.39,0.3,0.33,0.31,0.38,0.23,0.27,0.22,0.23
h_1,0.93,0.73,0.69,0.71,0.59,0.39,0.77,0.42,0.52,0.43,0.37,0.37,0.31,0.33,0.27,0.42
d_0,0.85,0.61,0.62,1.31,0.7,0.39,0.57,0.66,0.41,0.38,0.39,0.47,0.34,0.4,0.34,0.43
g_1,0.66,0.75,1.19,0.68,0.66,0.45,0.47,0.44,0.75,0.41,0.53,0.47,0.33,0.38,0.37,0.31
c_0,0.99,0.79,0.68,0.56,0.62,0.47,0.63,0.49,0.52,0.66,0.48,0.77,0.47,0.47,0.36,0.4
f_0,0.7,0.72,0.87,0.88,0.66,0.51,0.61,0.54,0.47,0.5,0.67,0.53,0.43,0.45,0.68,0.32
b_0,0.91,0.85,0.87,0.89,0.63,0.31,0.6,0.48,0.46,0.42,0.45,0.68,0.74,0.46,0.35,0.39
a_0,0.99,0.91,1.03,0.84,0.86,0.31,0.69,0.58,0.53,0.5,0.52,0.39,0.62,0.49,0.39,0.42
h_0,1.18,0.83,0.97,0.93,0.71,0.5,0.46,0.53,0.57,0.51,0.45,0.47,0.36,0.33,0.39,0.51
e_0,0.99,0.65,0.92,0.97,0.89,0.65,0.65,0.51,0.49,0.52,0.44,0.51,0.43,0.49,0.63,0.41
g_0,0.87,0.89,1.27,0.92,0.62,0.59,0.63,0.5,0.43,0.51,0.84,0.51,0.42,0.45,0.44,0.35
