,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.11,1.76,2.89,3.31,3.27,3.35,0.99,0.77,0.71,0.86,0.59,0.81,0.45,0.65,0.49,0.89
f_1,2.74,1.1,2.84,3.19,3.55,3.04,0.7,0.69,0.65,0.89,0.64,0.85,0.34,0.67,0.58,0.58
d_1,3.46,3.1,1.1,3.63,2.89,2.98,0.72,0.98,0.62,0.61,0.66,0.64,0.43,0.61,0.26,0.51
c_1,2.72,3.74,3.86,1.11,3.17,2.85,1.04,0.43,1.02,1.01,0.75,0.7,0.51,0.69,0.48,0.69
b_1,3.92,4.16,4.24,2.11,1.12,3.48,1.16,0.74,0.96,1.3,1.23,0.74,0.58,0.88,0.52,0.76
a_1,5.57,7.29,5.62,5.3,2.71,1.13,1.96,1.34,1.21,2.09,1.65,0.98,0.92,1.94,1.16,1.01
h_1,11.97,11.25,10.95,12.42,11.12,8.49,1.6,2.69,2.2,3.01,2.27,1.98,2.32,1.96,1.72,1.72
d_0,8.63,12.63,24.32,13.3,14.31,12.57,4.14,1.97,3.11,3.72,3.22,2.85,2.13,2.81,2.42,3.16
c_0,14.13,14.57,8.13,22.01,14.68,12.41,3.85,4.47,1.92,3.89,2.71,3.06,1.97,3.05,1.79,2.57
g_1,13.5,12.45,15.48,15.88,15.22,12.9,2.83,2.73,2.89,1.65,2.53,2.97,1.49,2.36,2.44,2.23
b_0,16.03,14.7,12.29,22.31,21.57,13.79,4.37,3.58,1.85,4.05,1.95,2.95,2.58,3.38,2.11,3.32
f_0,21.12,28.9,17.64,18.88,20.95,15.52,6.01,4.08,3.75,3.34,4.09,2.04,2.68,4.0,1.84,3.53
h_0,22.16,22.43,23.16,21.13,24.92,19.28,10.22,5.04,5.4,7.6,4.38,4.67,4.19,4.12,3.61,4.26
a_0,24.93,25.64,22.11,27.75,27.27,23.93,6.24,6.36,3.73,6.65,2.53,3.98,3.27,2.07,3.4,3.95
g_0,29.19,27.95,24.85,26.16,27.02,26.48,6.06,6.25,5.48,9.75,6.05,5.05,3.05,4.4,5.36,4.49
e_0,40.34,38.31,29.35,23.81,27.27,23.36,7.93,5.15,5.09,6.02,6.44,2.72,4.73,6.09,4.16,2.44
