,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,22.93,0.66,0.28,0.36,0.32,0.32,0.72,0.64,0.69,0.85,0.87,0.21,0.88,0.8,0.55,0.7
e_1,0.37,24.88,0.32,0.37,0.31,0.29,0.64,0.85,0.87,1.54,0.86,0.81,0.8,0.93,0.2,0.62
d_1,0.36,0.31,25.83,0.4,0.28,0.38,0.65,0.75,1.43,0.21,0.78,0.72,0.87,0.75,0.88,0.96
c_1,0.34,0.29,0.26,28.15,0.81,0.35,0.75,0.62,0.14,0.61,0.69,0.84,0.93,0.83,0.9,1.02
b_1,0.3,0.3,0.38,0.28,31.39,0.68,0.94,0.72,0.77,0.7,0.24,1.07,0.77,0.64,0.92,0.69
a_1,0.28,0.3,0.43,0.4,0.37,50.3,0.78,0.59,0.73,0.81,0.63,0.64,0.84,0.2,0.82,1.21
h_1,0.91,0.58,0.62,0.64,0.54,0.65,9.03,1.51,1.25,1.25,1.33,1.51,0.79,1.66,1.62,2.34
g_1,0.41,0.53,1.13,0.58,0.53,0.78,1.3,12.13,1.72,1.33,1.38,2.34,1.55,1.44,1.99,0.59
c_0,0.9,0.73,0.66,0.16,0.53,0.71,1.33,1.14,5.77,1.71,3.94,1.52,1.61,1.46,1.54,1.69
d_0,0.78,0.53,0.24,1.38,0.5,0.72,1.29,1.53,1.17,5.63,1.55,1.69,1.69,1.65,1.49,1.5
b_0,0.8,0.58,0.81,0.66,0.24,0.36,1.65,1.59,1.58,2.1,6.91,1.73,2.36,2.68,1.73,2.05
f_0,0.35,0.55,1.0,0.61,0.74,0.61,1.39,1.19,1.38,1.6,2.33,7.2,1.64,1.53,3.12,1.71
h_0,0.95,0.58,0.86,0.62,0.58,0.48,0.36,1.62,1.34,1.37,1.21,1.74,0.62,1.23,1.58,1.93
a_0,0.65,0.79,0.76,0.8,0.46,,1.62,1.8,1.69,1.34,1.34,1.81,2.28,7.95,1.48,1.38
e_0,1.07,0.16,0.85,0.78,0.76,0.43,1.26,1.31,1.91,1.16,1.35,1.57,2.07,1.21,10.11,1.97
g_0,0.57,0.47,1.18,0.57,0.72,0.65,1.29,0.42,1.63,1.35,1.4,2.75,1.4,1.75,1.58,0.53
